"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","165,30","165,70","166,40","164,50","799,10K","-0,24%"
"03.04.2025","165,70","171,00","171,50","165,70","4,85M","-2,64%"
"02.04.2025","170,20","167,20","172,40","165,30","6,68M","1,86%"
"28.03.2025","167,10","167,70","168,20","163,70","5,31M","-0,24%"
"27.03.2025","167,50","172,70","173,10","167,50","5,30M","-1,47%"
"26.03.2025","170,00","168,00","174,50","165,00","10,59M","1,13%"
"25.03.2025","168,10","157,80","168,90","157,80","10,17M","7,00%"
"24.03.2025","157,10","155,90","160,90","149,50","11,90M","0,90%"
"21.03.2025","155,70","173,00","173,60","155,70","14,10M","-10,00%"
"20.03.2025","173,00","168,50","176,10","167,90","11,48M","2,06%"
"19.03.2025","169,50","174,50","181,20","169,50","9,56M","-9,98%"
"18.03.2025","188,30","189,10","192,00","185,40","8,34M","-0,58%"
"17.03.2025","189,40","191,60","192,30","188,50","7,20M","-0,32%"
"14.03.2025","190,00","183,90","191,40","182,80","12,22M","4,00%"
"13.03.2025","182,70","183,00","183,70","180,10","9,64M","0,38%"
"12.03.2025","182,00","182,00","185,70","180,40","10,47M","2,82%"
"11.03.2025","177,00","178,90","181,50","175,40","7,23M","-0,56%"
"10.03.2025","178,00","179,00","184,60","177,20","7,51M","-0,56%"
"07.03.2025","179,00","179,50","180,50","178,00","6,34M","-0,28%"
"06.03.2025","179,50","175,10","180,60","171,90","10,98M","1,87%"
"05.03.2025","176,20","175,70","178,60","173,20","10,53M","0,51%"
"04.03.2025","175,30","171,80","177,10","171,70","10,03M","1,86%"
"03.03.2025","172,10","172,30","174,50","171,30","10,11M","-0,41%"
"28.02.2025","172,80","174,50","175,20","170,60","24,00M","-0,35%"
"27.02.2025","173,40","170,70","174,90","169,50","9,09M","1,70%"
"26.02.2025","170,50","161,90","173,60","161,00","10,31M","5,57%"
"25.02.2025","161,50","162,20","164,50","161,30","4,62M","-0,31%"
"24.02.2025","162,00","166,10","166,50","161,00","5,67M","-1,52%"
"21.02.2025","164,50","170,00","170,00","161,90","5,77M","-3,06%"
"20.02.2025","169,70","169,30","173,20","169,10","5,66M","0,35%"
"19.02.2025","169,10","175,70","175,90","168,20","5,64M","-3,21%"
"18.02.2025","174,70","171,80","177,20","171,00","7,17M","1,51%"
"17.02.2025","172,10","172,70","175,50","168,80","6,24M","0,12%"
"14.02.2025","171,90","172,60","173,20","169,50","6,36M","-0,17%"
"13.02.2025","172,20","169,70","174,30","168,30","13,48M","4,87%"
"12.02.2025","164,20","160,00","165,80","160,00","11,44M","2,62%"
"11.02.2025","160,00","160,00","161,60","157,30","7,96M","-0,25%"
"10.02.2025","160,40","163,40","165,90","160,00","5,47M","-1,35%"
"07.02.2025","162,60","158,90","163,80","157,50","9,58M","2,72%"
"06.02.2025","158,30","161,90","162,50","157,80","5,17M","-1,43%"
"05.02.2025","160,60","159,30","163,90","158,70","9,36M","1,07%"
"04.02.2025","158,90","158,20","160,50","155,80","6,28M","0,82%"
"03.02.2025","157,60","160,00","160,10","156,90","4,21M","-2,35%"
"31.01.2025","161,40","164,00","164,00","158,90","9,34M","-2,00%"
"30.01.2025","164,70","164,80","166,80","164,10","4,91M","0,12%"
"29.01.2025","164,50","164,90","167,50","164,30","6,18M","0,12%"
"28.01.2025","164,30","165,30","166,10","163,20","4,32M","-0,54%"
"27.01.2025","165,20","165,20","166,50","162,90","6,11M","-0,36%"
"24.01.2025","165,80","163,20","167,50","163,20","6,68M","1,66%"
"23.01.2025","163,10","164,00","164,90","162,30","6,76M","0,06%"
"22.01.2025","163,00","167,00","167,00","162,70","10,22M","-3,15%"
"21.01.2025","168,30","170,60","171,10","167,40","6,36M","-1,35%"
"20.01.2025","170,60","166,50","171,50","164,80","9,81M","2,96%"
"17.01.2025","165,70","171,00","171,00","165,60","9,11M","-3,61%"
"16.01.2025","171,90","164,80","172,60","161,50","10,82M","5,27%"
"15.01.2025","163,30","163,10","164,10","160,60","5,72M","0,31%"
"14.01.2025","162,80","165,00","166,00","161,10","7,48M","-0,43%"
"13.01.2025","163,50","167,40","168,70","162,80","8,59M","-2,21%"
"10.01.2025","167,20","173,60","175,30","167,00","13,18M","-3,30%"
"09.01.2025","172,90","172,10","174,10","172,10","6,77M","0,82%"
"08.01.2025","171,50","173,00","174,20","170,80","11,98M","-0,58%"
"07.01.2025","172,50","176,10","176,30","172,50","14,35M","-1,88%"
"06.01.2025","175,80","176,60","179,00","172,70","20,54M","0,17%"
"03.01.2025","175,50","175,00","178,20","172,80","26,75M","1,56%"
