"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2014","18,01","18,01","18,24","18,01","50,02K","-0,28%"
"30.12.2014","18,06","17,97","18,24","17,92","37,50K","0,50%"
"29.12.2014","17,97","18,24","18,29","17,97","39,72K","-1,75%"
"26.12.2014","18,29","18,34","18,43","18,24","35,47K","0,00%"
"25.12.2014","18,29","18,34","18,43","18,24","48,86K","0,00%"
"24.12.2014","18,29","18,34","18,38","18,29","30,23K","-0,27%"
"23.12.2014","18,34","18,57","18,57","18,29","69,30K","-0,97%"
"22.12.2014","18,52","18,15","18,57","18,11","178,30K","2,26%"
"19.12.2014","18,11","18,06","18,20","17,92","85,02K","0,28%"
"18.12.2014","18,06","18,24","18,43","17,97","174,69K","0,28%"
"17.12.2014","18,01","18,06","18,57","17,88","109,70K","-0,28%"
"16.12.2014","18,06","18,15","18,52","17,83","94,57K","-0,99%"
"15.12.2014","18,24","18,24","18,52","18,20","39,64K","-0,27%"
"12.12.2014","18,29","18,61","18,75","18,24","58,08K","-1,98%"
"11.12.2014","18,66","18,89","19,03","18,61","73,29K","-1,22%"
"10.12.2014","18,89","19,17","19,21","18,84","70,29K","-1,20%"
"09.12.2014","19,12","19,03","19,30","19,03","70,61K","-0,26%"
"08.12.2014","19,17","19,26","19,53","19,17","90,20K","-0,47%"
"05.12.2014","19,26","19,49","19,63","19,26","96,69K","-0,93%"
"04.12.2014","19,44","19,58","19,72","19,40","202,98K","-1,17%"
"03.12.2014","19,67","19,30","19,67","19,21","322,72K","1,65%"
"02.12.2014","19,35","19,17","19,40","19,03","99,43K","0,94%"
"01.12.2014","19,17","19,40","19,49","19,12","63,51K","-1,19%"
"28.11.2014","19,40","19,40","19,49","19,07","115,61K","0,00%"
"27.11.2014","19,40","19,07","19,44","19,03","276,99K","1,73%"
"26.11.2014","19,07","18,66","19,12","18,61","147,03K","2,20%"
"25.11.2014","18,66","18,94","18,94","18,66","44,13K","-0,74%"
"24.11.2014","18,80","18,94","19,03","18,75","56,63K","-1,21%"
"21.11.2014","19,03","18,57","19,07","18,47","195,99K","2,75%"
"20.11.2014","18,52","18,38","18,57","18,34","31,45K","0,76%"
"19.11.2014","18,38","18,52","18,71","18,29","69,84K","-0,76%"
"18.11.2014","18,52","18,75","18,75","18,20","112,91K","-0,75%"
"17.11.2014","18,66","18,71","18,94","18,61","63,42K","0,00%"
"14.11.2014","18,66","18,89","19,03","18,52","80,37K","-0,74%"
"13.11.2014","18,80","18,84","19,26","18,66","145,99K","0,00%"
"12.11.2014","18,80","18,89","19,03","18,80","66,17K","0,00%"
"11.11.2014","18,80","19,44","19,44","18,80","97,20K","-2,84%"
"10.11.2014","19,35","19,58","19,76","19,35","33,28K","-1,17%"
"07.11.2014","19,58","19,90","19,90","19,58","44,79K","-1,16%"
"06.11.2014","19,81","20,13","20,32","19,81","49,09K","-1,59%"
"05.11.2014","20,13","19,90","20,55","19,86","159,44K","1,16%"
"04.11.2014","19,90","19,81","19,95","19,81","52,67K","0,71%"
"03.11.2014","19,76","19,90","20,04","19,67","50,78K","-0,50%"
"31.10.2014","19,86","19,95","20,09","19,86","52,93K","-0,20%"
"30.10.2014","19,90","19,63","19,95","19,58","62,02K","1,38%"
"28.10.2014","19,63","19,86","19,86","19,63","27,60K","-0,91%"
"27.10.2014","19,81","19,86","19,90","19,63","33,61K","0,00%"
"24.10.2014","19,81","20,00","20,09","19,76","54,93K","-0,95%"
"23.10.2014","20,00","20,04","20,13","19,90","57,46K","-0,20%"
"22.10.2014","20,04","20,18","20,18","19,86","68,27K","-0,45%"
"21.10.2014","20,13","20,27","20,41","19,90","75,54K","-0,49%"
"20.10.2014","20,23","20,00","20,27","19,86","39,24K","1,40%"
"17.10.2014","19,95","19,86","20,04","19,86","29,03K","0,96%"
"16.10.2014","19,76","19,86","19,86","19,35","86,18K","0,66%"
"15.10.2014","19,63","20,18","20,27","19,63","51,31K","-0,66%"
"14.10.2014","19,76","19,63","20,00","19,49","63,91K","0,66%"
"13.10.2014","19,63","19,03","19,76","18,98","141,31K","3,92%"
"10.10.2014","18,89","19,26","19,35","18,89","92,74K","-2,38%"
"09.10.2014","19,35","19,72","19,90","19,35","126,59K","-0,46%"
"08.10.2014","19,44","19,81","19,81","19,35","106,33K","-2,99%"
"03.10.2014","20,04","19,67","20,82","19,17","361,54K","3,09%"
