"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","8,70","8,77","8,81","8,63","4,01M","-0,80%"
"03.04.2025","8,77","8,92","9,01","8,75","18,34M","-1,68%"
"02.04.2025","8,92","9,02","9,24","8,91","24,25M","-0,78%"
"28.03.2025","8,99","8,98","9,10","8,57","53,62M","0,11%"
"27.03.2025","8,98","9,41","9,75","8,98","94,33M","-0,77%"
"26.03.2025","9,05","8,01","9,05","7,87","89,87M","9,96%"
"25.03.2025","8,23","7,82","8,37","7,75","44,64M","6,74%"
"24.03.2025","7,71","7,57","7,87","7,35","30,44M","1,98%"
"21.03.2025","7,56","8,22","8,24","7,40","23,82M","-8,03%"
"20.03.2025","8,22","8,17","8,54","8,07","38,28M","-1,79%"
"19.03.2025","8,37","8,80","8,99","8,37","31,97M","-10,00%"
"18.03.2025","9,30","9,45","9,47","9,17","21,47M","-1,59%"
"17.03.2025","9,45","9,46","9,57","9,40","31,75M","0,00%"
"14.03.2025","9,45","9,38","9,52","9,35","24,67M","1,39%"
"13.03.2025","9,32","9,12","9,38","9,12","29,56M","2,64%"
"12.03.2025","9,08","9,40","9,43","9,08","28,53M","-3,40%"
"11.03.2025","9,40","9,56","9,60","9,31","29,70M","-1,67%"
"10.03.2025","9,56","9,51","9,83","9,45","56,22M","1,38%"
"07.03.2025","9,43","9,39","9,66","9,32","44,46M","0,64%"
"06.03.2025","9,37","9,15","9,56","9,14","68,40M","3,08%"
"05.03.2025","9,09","9,07","9,25","9,03","26,13M","0,89%"
"04.03.2025","9,01","9,02","9,40","8,97","30,44M","0,11%"
"03.03.2025","9,00","8,98","9,56","8,93","24,36M","0,78%"
"28.02.2025","8,93","9,04","9,14","8,89","11,43M","-1,11%"
"27.02.2025","9,03","8,79","9,36","8,79","36,83M","2,85%"
"26.02.2025","8,78","8,96","9,01","8,78","14,28M","-1,68%"
"25.02.2025","8,93","9,25","9,30","8,93","14,23M","-3,46%"
"24.02.2025","9,25","9,20","9,46","9,20","13,43M","0,65%"
"21.02.2025","9,19","9,45","9,61","9,10","30,04M","-2,55%"
"20.02.2025","9,43","9,32","9,49","9,32","11,73M","1,40%"
"19.02.2025","9,30","9,47","9,56","9,30","16,33M","-1,80%"
"18.02.2025","9,47","9,75","9,85","9,45","17,72M","-1,87%"
"17.02.2025","9,65","9,65","9,80","9,60","14,12M","0,31%"
"14.02.2025","9,62","9,53","9,75","9,45","13,34M","0,84%"
"13.02.2025","9,54","9,45","9,75","9,36","22,09M","1,17%"
"12.02.2025","9,43","9,42","9,63","9,39","17,88M","0,11%"
"11.02.2025","9,42","9,40","9,47","9,30","18,52M","0,21%"
