"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","20,58","20,76","20,90","20,56","980,44K","-0,39%"
"03.04.2025","20,66","20,50","20,92","20,46","3,34M","0,78%"
"02.04.2025","20,50","20,78","20,82","20,44","2,96M","-1,44%"
"28.03.2025","20,80","20,84","20,92","20,12","2,30M","0,48%"
"27.03.2025","20,70","21,10","21,42","20,70","8,53M","-1,33%"
"26.03.2025","20,98","21,10","21,30","20,82","4,05M","-0,57%"
"25.03.2025","21,10","20,88","21,34","20,70","6,66M","1,54%"
"24.03.2025","20,78","20,50","21,06","20,36","6,28M","1,07%"
"21.03.2025","20,56","20,86","21,06","19,82","5,24M","-1,72%"
"20.03.2025","20,92","19,48","21,16","19,48","6,04M","7,39%"
"19.03.2025","19,48","20,46","20,46","19,22","2,85M","-7,24%"
"18.03.2025","21,00","20,70","21,04","20,34","3,57M","1,25%"
"17.03.2025","20,74","20,98","21,04","20,70","3,00M","-1,14%"
"14.03.2025","20,98","20,96","21,08","20,68","2,72M","0,48%"
"13.03.2025","20,88","20,52","21,36","20,48","5,03M","1,85%"
"12.03.2025","20,50","20,54","20,90","19,95","4,82M","-0,19%"
"11.03.2025","20,54","21,30","21,54","20,54","5,23M","-3,57%"
"10.03.2025","21,30","19,37","21,30","19,32","13,39M","9,96%"
"07.03.2025","19,37","19,24","19,54","19,21","2,53M","0,52%"
"06.03.2025","19,27","19,27","19,45","19,17","2,71M","-0,05%"
"05.03.2025","19,28","19,05","19,37","18,86","2,50M","1,26%"
"04.03.2025","19,04","19,19","19,21","18,70","2,28M","-0,78%"
"03.03.2025","19,19","19,70","19,70","19,04","3,42M","-1,79%"
"28.02.2025","19,54","20,02","20,18","19,54","5,08M","-2,50%"
"27.02.2025","20,04","19,97","20,16","19,92","4,58M","0,45%"
"26.02.2025","19,95","20,14","20,32","19,94","5,19M","-0,75%"
"25.02.2025","20,10","20,06","20,30","19,96","5,20M","0,55%"
"24.02.2025","19,99","19,91","20,14","19,87","3,43M","0,60%"
"21.02.2025","19,87","19,86","20,22","19,74","6,72M","0,05%"
"20.02.2025","19,86","19,51","19,94","19,42","3,82M","1,85%"
"19.02.2025","19,50","19,50","19,66","19,27","2,96M","-0,41%"
"18.02.2025","19,58","19,10","19,58","18,91","3,08M","2,51%"
"17.02.2025","19,10","18,62","19,20","18,62","4,79M","2,69%"
"14.02.2025","18,60","17,25","18,76","17,15","6,79M","8,14%"
"13.02.2025","17,20","16,88","17,29","16,51","2,80M","1,90%"
"12.02.2025","16,88","17,32","17,44","16,84","3,12M","-2,54%"
"11.02.2025","17,32","17,30","17,45","16,86","5,80M","0,52%"
"10.02.2025","17,23","17,91","17,94","17,07","3,13M","-3,80%"
"07.02.2025","17,91","18,60","18,75","17,77","3,54M","-3,71%"
"06.02.2025","18,60","18,00","18,60","18,00","1,38M","2,42%"
"05.02.2025","18,16","18,58","18,70","18,00","2,01M","-2,26%"
"04.02.2025","18,58","18,83","19,00","18,58","1,88M","-1,28%"
"03.02.2025","18,82","19,23","19,30","18,82","1,59M","-2,13%"
"31.01.2025","19,23","19,49","19,62","19,20","2,26M","-1,23%"
"30.01.2025","19,47","19,51","20,40","19,47","1,69M","-0,15%"
"29.01.2025","19,50","19,66","19,75","19,45","1,14M","-0,81%"
"28.01.2025","19,66","19,52","19,84","19,48","1,72M","0,61%"
"27.01.2025","19,54","19,96","19,96","19,40","2,40M","-2,15%"
"24.01.2025","19,97","19,51","20,02","19,45","2,46M","1,01%"
"23.01.2025","19,77","19,30","19,82","19,30","2,39M","2,44%"
"22.01.2025","19,30","19,76","19,81","19,30","2,26M","-2,28%"
"21.01.2025","19,75","19,84","20,14","19,65","2,14M","-0,40%"
"20.01.2025","19,83","20,00","20,22","19,73","3,41M","-0,50%"
"17.01.2025","19,93","20,12","20,24","19,93","2,65M","-0,85%"
"16.01.2025","20,10","20,20","20,30","20,06","1,27M","-0,30%"
"15.01.2025","20,16","20,62","20,68","20,12","2,85M","-2,23%"
"14.01.2025","20,62","21,10","21,20","20,60","1,89M","-2,09%"
"13.01.2025","21,06","21,44","21,46","21,00","3,18M","-1,77%"
"10.01.2025","21,44","21,30","21,44","21,08","2,25M","0,47%"
"09.01.2025","21,34","20,90","21,34","20,84","2,85M","2,30%"
"08.01.2025","20,86","21,20","21,22","20,86","1,56M","-1,70%"
"07.01.2025","21,22","21,38","21,40","21,06","2,13M","-0,75%"
"06.01.2025","21,38","21,46","21,70","21,10","5,51M","-0,47%"
