"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","52,65","52,55","52,70","52,05","33,60M","0,19%"
"03.04.2025","52,55","53,25","54,10","52,35","83,23M","-0,57%"
"02.04.2025","52,85","52,00","53,45","51,40","119,71M","1,15%"
"28.03.2025","52,25","52,75","53,10","51,10","128,16M","-1,04%"
"27.03.2025","52,80","54,60","54,90","52,30","137,01M","-2,13%"
"26.03.2025","53,95","54,50","55,45","52,65","174,00M","-1,51%"
"25.03.2025","54,78","54,78","56,39","52,77","327,10M","3,80%"
"24.03.2025","52,77","53,90","55,07","49,50","320,44M","0,37%"
"21.03.2025","52,58","57,76","58,05","52,58","216,45M","-9,97%"
"20.03.2025","58,40","62,95","64,36","58,10","368,32M","-9,48%"
"19.03.2025","64,51","66,52","67,45","64,51","108,31M","-11,93%"
"18.03.2025","73,25","74,65","75,05","72,90","56,44M","-2,46%"
"17.03.2025","75,10","75,10","76,20","73,95","68,61M","0,27%"
"14.03.2025","74,90","74,85","75,60","74,40","71,23M","0,13%"
"13.03.2025","74,80","73,80","75,45","73,50","65,91M","1,70%"
"12.03.2025","73,55","72,20","74,50","72,20","110,56M","2,29%"
"11.03.2025","71,90","74,05","74,10","71,40","73,31M","-2,71%"
"10.03.2025","73,90","73,70","75,05","73,25","65,58M","0,20%"
"07.03.2025","73,75","73,35","74,60","72,85","81,47M","0,41%"
"06.03.2025","73,45","73,60","73,80","71,75","88,05M","0,48%"
"05.03.2025","73,10","73,20","74,50","71,15","152,43M","1,32%"
"04.03.2025","72,15","73,00","74,50","71,70","89,27M","-1,16%"
"03.03.2025","73,00","68,25","74,00","68,20","189,12M","8,47%"
"28.02.2025","67,30","67,55","68,70","66,95","76,13M","-0,74%"
"27.02.2025","67,80","67,20","68,70","67,05","64,52M","0,44%"
"26.02.2025","67,50","66,20","67,70","65,40","73,36M","2,04%"
"25.02.2025","66,15","64,90","66,35","64,45","96,24M","2,08%"
"24.02.2025","64,80","65,65","65,95","64,30","62,77M","0,00%"
"21.02.2025","64,80","65,65","66,40","63,85","95,49M","-1,22%"
"20.02.2025","65,60","64,60","66,15","64,50","87,06M","2,02%"
"19.02.2025","64,30","65,15","65,85","64,10","87,12M","-1,23%"
"18.02.2025","65,10","64,55","65,65","64,00","76,13M","0,93%"
"17.02.2025","64,50","64,90","65,10","63,95","72,15M","-0,54%"
"14.02.2025","64,85","64,35","65,35","63,70","104,85M","1,25%"
"13.02.2025","64,05","63,45","64,50","62,80","113,56M","1,91%"
"12.02.2025","62,85","63,30","63,75","62,50","110,64M","-0,55%"
"11.02.2025","63,20","62,75","63,65","62,60","89,66M","0,80%"
"10.02.2025","62,70","63,55","63,80","62,70","91,03M","-1,26%"
"07.02.2025","63,50","64,30","64,40","62,20","167,65M","-1,47%"
"06.02.2025","64,45","65,60","65,80","63,45","125,92M","-0,69%"
"05.02.2025","64,90","65,80","66,20","63,85","85,56M","-1,22%"
"04.02.2025","65,70","64,25","66,75","63,60","106,97M","2,98%"
"03.02.2025","63,80","64,05","64,65","61,60","126,67M","-1,62%"
"31.01.2025","64,85","65,95","66,90","64,85","109,03M","-0,99%"
"30.01.2025","65,50","66,20","66,55","65,40","61,54M","-0,76%"
"29.01.2025","66,00","67,40","67,60","65,90","76,91M","-1,64%"
"28.01.2025","67,10","66,70","67,20","66,25","94,41M","1,67%"
"27.01.2025","66,00","65,40","66,65","64,95","77,95M","-0,68%"
"24.01.2025","66,45","68,20","68,30","66,20","75,48M","-2,49%"
"23.01.2025","68,15","69,85","69,90","67,60","102,09M","-2,08%"
"22.01.2025","69,60","68,60","69,70","68,35","106,46M","1,53%"
"21.01.2025","68,55","67,00","68,95","66,90","120,77M","2,08%"
"20.01.2025","67,15","66,85","67,15","65,25","77,10M","1,74%"
"17.01.2025","66,00","64,30","66,35","64,05","89,90M","2,88%"
"16.01.2025","64,15","64,40","64,60","62,55","107,52M","1,50%"
"15.01.2025","63,20","63,10","64,30","62,60","82,88M","0,32%"
"14.01.2025","63,00","63,30","64,80","62,45","131,70M","0,32%"
"13.01.2025","62,80","64,35","65,80","62,25","139,46M","-2,48%"
"10.01.2025","64,40","65,95","66,15","63,75","64,53M","-2,28%"
"09.01.2025","65,90","64,05","66,00","63,35","92,85M","3,62%"
"08.01.2025","63,60","64,80","65,05","63,20","103,42M","-1,78%"
"07.01.2025","64,75","66,75","67,05","64,75","84,33M","-3,07%"
"06.01.2025","66,80","66,35","67,25","66,10","76,61M","0,91%"
"03.01.2025","66,20","66,35","67,15","65,45","95,59M","0,00%"
"02.01.2025","66,20","65,45","67,10","64,55","117,93M","2,08%"
"31.12.2024","64,85","65,70","66,95","64,85","59,64M","-1,22%"
