"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","11,07","11,11","11,22","11,03","4,62M","0,09%"
"03.04.2025","11,06","10,87","11,31","10,85","19,66M","1,75%"
"02.04.2025","10,87","11,17","11,19","10,85","17,45M","-2,69%"
"28.03.2025","11,17","10,97","11,21","10,85","10,66M","1,82%"
"27.03.2025","10,97","11,12","11,30","10,96","11,62M","-1,26%"
"26.03.2025","11,11","11,35","11,35","11,00","12,30M","-2,63%"
"25.03.2025","11,41","11,07","11,52","11,07","22,46M","3,07%"
"24.03.2025","11,07","10,58","11,13","10,38","23,66M","4,63%"
"21.03.2025","10,58","11,25","11,25","10,30","18,52M","-5,96%"
"20.03.2025","11,25","11,25","11,62","11,05","20,14M","-0,27%"
"19.03.2025","11,28","11,49","12,02","11,21","26,04M","-9,40%"
"18.03.2025","12,45","12,72","12,79","12,28","24,78M","-2,05%"
"17.03.2025","12,71","12,96","13,05","12,70","19,54M","-1,85%"
"14.03.2025","12,95","13,10","13,21","12,93","23,94M","-0,38%"
"13.03.2025","13,00","12,92","13,15","12,92","24,84M","0,78%"
"12.03.2025","12,90","12,88","13,05","12,78","15,42M","0,55%"
"11.03.2025","12,83","12,60","13,34","12,60","33,13M","-3,53%"
"10.03.2025","13,30","13,35","13,63","13,18","33,00M","-0,37%"
"07.03.2025","13,35","13,22","13,65","13,17","45,95M","0,98%"
"06.03.2025","13,22","13,02","13,32","12,90","41,35M","2,56%"
"05.03.2025","12,89","12,70","12,99","12,61","20,48M","2,38%"
"04.03.2025","12,59","12,72","12,96","12,57","19,91M","-1,02%"
"03.03.2025","12,72","13,05","13,12","12,70","27,33M","-2,00%"
"28.02.2025","12,98","13,03","13,27","12,79","33,28M","-0,31%"
"27.02.2025","13,02","12,90","13,31","12,86","28,22M","0,93%"
"26.02.2025","12,90","12,88","13,02","12,58","19,89M","0,47%"
"25.02.2025","12,84","13,08","13,25","12,78","24,15M","-1,83%"
"24.02.2025","13,08","13,09","13,47","12,76","34,30M","0,31%"
"21.02.2025","13,04","13,10","13,25","12,89","42,53M","-0,46%"
"20.02.2025","13,10","12,65","13,27","12,47","67,43M","4,13%"
"19.02.2025","12,58","11,95","12,78","11,89","68,25M","5,27%"
"18.02.2025","11,95","11,30","12,01","11,17","45,24M","3,46%"
"17.02.2025","11,55","11,38","11,56","11,38","10,21M","1,49%"
"14.02.2025","11,38","11,31","11,53","11,31","11,49M","0,62%"
"13.02.2025","11,31","11,43","11,53","11,31","11,92M","-0,79%"
"12.02.2025","11,40","11,85","11,91","11,31","17,85M","-3,55%"
"11.02.2025","11,82","11,84","11,96","11,63","15,70M","-0,25%"
"10.02.2025","11,85","12,01","12,11","11,79","11,84M","-1,25%"
"07.02.2025","12,00","12,00","12,10","11,77","12,35M","0,59%"
"06.02.2025","11,93","11,60","11,98","11,60","18,35M","3,20%"
"05.02.2025","11,56","11,63","11,68","11,38","16,12M","-1,03%"
"04.02.2025","11,68","11,62","11,75","11,52","12,70M","1,04%"
"03.02.2025","11,56","11,54","11,77","11,24","21,30M","0,17%"
"31.01.2025","11,54","11,32","11,74","11,32","30,28M","1,94%"
"30.01.2025","11,32","11,23","11,37","11,17","15,61M","1,52%"
"29.01.2025","11,15","11,04","11,30","10,96","20,36M","1,36%"
"28.01.2025","11,00","10,97","11,07","10,90","12,56M","0,27%"
"27.01.2025","10,97","11,02","11,18","10,79","13,45M","-0,27%"
"24.01.2025","11,00","10,65","11,11","10,63","19,35M","3,29%"
"23.01.2025","10,65","10,51","10,81","10,51","14,65M","1,43%"
"22.01.2025","10,50","10,77","10,83","10,39","21,17M","-2,51%"
"21.01.2025","10,77","11,08","11,08","10,73","19,40M","-2,89%"
"20.01.2025","11,09","11,17","11,31","11,04","11,84M","0,18%"
"17.01.2025","11,07","11,06","11,16","10,92","13,15M","0,45%"
"16.01.2025","11,02","11,22","11,33","10,90","16,71M","-1,25%"
"15.01.2025","11,16","11,14","11,25","10,88","15,79M","0,27%"
"14.01.2025","11,13","11,13","11,40","11,00","22,68M","0,18%"
"13.01.2025","11,11","11,70","11,74","11,06","25,12M","-5,04%"
"10.01.2025","11,70","11,66","12,24","11,64","21,95M","0,78%"
"09.01.2025","11,61","11,60","11,77","11,52","7,65M","0,96%"
"08.01.2025","11,50","11,70","11,79","11,49","11,54M","-1,71%"
