"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","33,360","33,680","33,880","33,200","1,35M","-1,07%"
"03.04.2025","33,720","34,600","35,020","33,700","4,00M","-1,98%"
"02.04.2025","34,400","35,020","35,440","34,360","4,02M","-2,16%"
"28.03.2025","35,160","33,660","35,280","32,660","4,58M","4,64%"
"27.03.2025","33,600","33,920","34,460","33,600","3,09M","0,12%"
"26.03.2025","33,560","33,480","33,900","32,880","3,33M","-0,12%"
"25.03.2025","33,600","32,020","33,960","31,840","6,29M","5,53%"
"24.03.2025","31,840","31,400","32,760","29,920","6,54M","2,38%"
"21.03.2025","31,100","33,540","33,720","30,960","6,99M","-8,80%"
"20.03.2025","34,100","33,020","34,520","32,920","6,21M","2,59%"
"19.03.2025","33,240","34,440","35,480","33,100","7,02M","-9,58%"
"18.03.2025","36,760","37,460","37,460","36,520","6,06M","-1,82%"
"17.03.2025","37,440","37,400","37,820","37,180","6,23M","0,43%"
"14.03.2025","37,280","37,920","37,920","37,140","6,70M","0,32%"
"13.03.2025","37,160","36,440","37,380","36,200","9,24M","2,65%"
"12.03.2025","36,200","36,800","36,840","35,960","7,50M","0,50%"
"11.03.2025","36,020","35,500","36,480","35,160","8,56M","0,67%"
"10.03.2025","35,780","35,940","36,380","35,500","5,37M","-0,17%"
"07.03.2025","35,840","35,080","36,380","35,080","6,90M","2,46%"
"06.03.2025","34,980","34,400","35,140","34,280","6,81M","2,46%"
"05.03.2025","34,140","34,260","34,440","33,780","6,21M","-0,29%"
"04.03.2025","34,240","35,160","35,380","33,920","7,75M","-5,88%"
"03.03.2025","36,380","35,600","37,000","35,600","5,15M","2,94%"
"28.02.2025","35,340","35,700","36,160","34,980","3,54M","-0,95%"
"27.02.2025","35,680","35,520","35,940","35,120","3,89M","0,96%"
"26.02.2025","35,340","35,620","35,940","34,800","4,25M","-0,62%"
"25.02.2025","35,560","36,300","36,380","35,000","3,42M","-2,04%"
"24.02.2025","36,300","36,400","36,960","36,140","2,87M","-0,11%"
"21.02.2025","36,340","37,400","37,520","36,220","2,75M","-2,36%"
"20.02.2025","37,220","37,220","37,740","36,940","3,18M","0,05%"
"19.02.2025","37,200","37,840","38,340","37,040","3,05M","-1,69%"
"18.02.2025","37,840","37,660","38,300","37,300","3,39M","0,48%"
"17.02.2025","37,660","38,000","38,400","37,640","3,13M","0,27%"
"14.02.2025","37,560","38,000","38,140","37,280","3,19M","-1,16%"
"13.02.2025","38,000","38,280","38,480","37,480","4,21M","0,16%"
"12.02.2025","37,940","39,600","39,640","37,920","4,84M","-4,19%"
"11.02.2025","39,600","40,300","40,360","39,300","4,87M","-1,25%"
"10.02.2025","40,100","39,840","40,460","39,360","3,93M","0,65%"
"07.02.2025","39,840","38,980","40,000","38,700","2,99M","2,21%"
"06.02.2025","38,980","38,920","39,280","38,700","2,16M","0,78%"
"05.02.2025","38,680","38,860","39,340","38,000","3,01M","-0,46%"
"04.02.2025","38,860","39,200","39,460","38,860","1,89M","-0,72%"
"03.02.2025","39,140","40,960","40,960","39,000","4,85M","-4,77%"
"31.01.2025","41,100","41,100","41,460","40,400","3,26M","0,49%"
"30.01.2025","40,900","40,860","41,440","40,520","4,06M","0,10%"
"29.01.2025","40,860","41,300","42,060","40,860","2,51M","-0,97%"
"28.01.2025","41,260","41,500","42,360","41,220","3,87M","-0,58%"
"27.01.2025","41,500","42,520","42,860","41,160","4,93M","-2,54%"
"24.01.2025","42,580","42,300","42,680","41,660","3,09M","1,48%"
"23.01.2025","41,960","41,680","42,660","41,460","4,54M","1,01%"
"22.01.2025","41,540","39,800","41,560","39,800","3,87M","4,37%"
"21.01.2025","39,800","40,200","40,860","39,760","2,65M","-1,14%"
"20.01.2025","40,260","40,900","41,100","40,020","2,84M","-1,03%"
"17.01.2025","40,680","40,700","40,960","39,760","3,76M","0,05%"
"16.01.2025","40,660","40,020","40,760","39,520","2,51M","2,42%"
"15.01.2025","39,700","39,660","39,840","39,100","2,55M","0,00%"
"14.01.2025","39,700","39,500","40,600","39,420","4,37M","-0,25%"
"13.01.2025","39,800","40,580","40,940","39,440","5,14M","-2,78%"
"10.01.2025","40,940","41,160","42,120","40,560","5,19M","-0,44%"
"09.01.2025","41,120","40,620","41,320","40,480","3,00M","1,43%"
"08.01.2025","40,540","40,700","41,180","40,340","4,43M","-1,22%"
"07.01.2025","41,040","40,860","41,680","40,840","4,17M","0,44%"
"06.01.2025","40,860","41,000","41,520","40,680","5,08M","0,05%"
"03.01.2025","40,840","39,600","41,220","39,600","5,93M","3,39%"
"02.01.2025","39,500","39,280","39,680","38,120","5,75M","0,77%"
"31.12.2024","39,200","38,780","39,500","38,040","5,30M","0,87%"
"30.12.2024","38,860","38,720","39,540","38,660","5,74M","0,67%"
"27.12.2024","38,600","38,160","39,220","38,160","5,24M","1,42%"
"26.12.2024","38,060","36,900","38,240","36,860","6,60M","3,20%"
"25.12.2024","36,880","36,780","37,360","36,620","3,61M","1,32%"
"24.12.2024","36,400","35,200","36,640","34,960","9,72M","2,77%"
"23.12.2024","35,420","35,960","36,020","35,220","2,85M","-1,50%"
"20.12.2024","35,960","36,580","36,580","35,860","2,83M","-1,69%"
"19.12.2024","36,580","37,000","37,000","35,960","4,18M","0,66%"
"18.12.2024","36,340","36,000","36,960","35,840","4,31M","0,94%"
"17.12.2024","36,000","36,020","36,340","35,680","4,02M","-0,22%"
"16.12.2024","36,080","37,140","37,340","36,060","6,00M","-1,80%"
"13.12.2024","36,740","35,780","36,920","35,420","4,11M","2,80%"
"12.12.2024","35,740","36,020","36,280","35,660","2,83M","-0,50%"
"11.12.2024","35,920","36,500","36,620","35,820","3,33M","-1,64%"
"10.12.2024","36,520","37,080","37,100","36,240","3,09M","-1,46%"
"09.12.2024","37,060","36,840","37,280","36,800","3,58M","1,59%"
"06.12.2024","36,480","36,060","36,660","36,000","3,11M","1,50%"
"05.12.2024","35,940","35,900","36,420","35,760","3,30M","0,17%"
"04.12.2024","35,880","36,320","36,600","35,780","2,85M","-1,05%"
"03.12.2024","36,260","35,900","36,520","35,720","3,57M","1,06%"
"02.12.2024","35,880","35,660","36,380","35,340","6,53M","0,90%"
"29.11.2024","35,560","35,040","35,760","34,700","7,47M","1,89%"
"28.11.2024","34,900","34,500","35,220","34,480","4,54M","2,05%"
"27.11.2024","34,200","34,800","35,220","34,200","4,06M","-1,50%"
"26.11.2024","34,720","35,180","35,180","34,380","2,94M","-1,36%"
"25.11.2024","35,200","34,940","35,500","34,840","3,73M","0,80%"
"22.11.2024","34,920","33,680","34,920","33,540","4,91M","3,74%"
"21.11.2024","33,660","33,340","33,780","32,600","4,82M","2,25%"
"20.11.2024","32,920","34,000","34,260","32,860","2,86M","-3,12%"
"19.11.2024","33,980","34,120","34,360","33,500","4,83M","-0,23%"
"18.11.2024","34,060","33,780","34,300","33,460","3,84M","1,07%"
"15.11.2024","33,700","33,360","34,080","33,340","6,31M","1,26%"
"14.11.2024","33,280","33,720","33,820","33,080","6,73M","-0,66%"
"13.11.2024","33,500","33,680","33,800","32,960","3,79M","-0,77%"
"12.11.2024","33,760","34,200","34,320","33,680","2,97M","-0,88%"
"11.11.2024","34,060","33,300","34,360","33,300","4,68M","2,59%"
"08.11.2024","33,200","32,800","33,340","32,640","4,35M","1,22%"
"07.11.2024","32,800","33,380","33,480","32,320","5,59M","-1,91%"
"06.11.2024","33,440","32,180","33,640","32,120","5,79M","3,40%"
"05.11.2024","32,340","32,720","32,920","31,980","4,71M","-0,80%"
"04.11.2024","32,600","32,660","33,140","32,360","6,30M","-0,12%"
"01.11.2024","32,640","33,100","33,300","32,440","5,98M","-1,09%"
"31.10.2024","33,000","34,320","34,480","32,880","6,26M","-3,85%"
"30.10.2024","34,320","34,620","34,760","34,220","3,76M","-0,87%"
"28.10.2024","34,620","34,240","34,660","34,080","1,17M","1,47%"
"25.10.2024","34,120","33,860","34,300","33,420","3,74M","0,77%"
"24.10.2024","33,860","35,980","35,980","33,640","4,94M","0,95%"
"23.10.2024","33,540","34,120","34,880","33,380","4,12M","-1,99%"
"22.10.2024","34,220","33,580","34,340","33,520","3,05M","2,15%"
"21.10.2024","33,500","34,360","34,460","33,420","1,99M","-1,99%"
"18.10.2024","34,180","35,260","35,740","34,040","4,83M","-3,06%"
"17.10.2024","35,260","34,620","35,340","34,460","2,80M","2,14%"
"16.10.2024","34,520","34,800","34,820","34,260","2,50M","0,00%"
"15.10.2024","34,520","34,440","34,520","33,740","3,10M","1,83%"
"14.10.2024","33,900","35,760","35,760","33,320","5,68M","-5,20%"
"11.10.2024","35,760","35,420","35,760","34,740","2,95M","1,82%"
"10.10.2024","35,120","35,340","36,020","34,760","3,93M","-0,62%"
"09.10.2024","35,340","34,900","35,380","34,180","2,66M","1,44%"
"08.10.2024","34,840","35,200","35,200","33,780","6,26M","-1,02%"
"07.10.2024","35,200","35,460","35,880","35,120","4,39M","-0,11%"
"04.10.2024","35,240","35,300","35,560","34,340","3,05M","0,00%"
"03.10.2024","35,240","35,080","36,080","35,040","3,24M","-0,11%"
"02.10.2024","35,280","36,900","37,120","35,060","3,05M","-4,39%"
"01.10.2024","36,900","38,340","38,600","36,440","4,12M","-3,76%"
"30.09.2024","38,340","39,400","39,540","38,160","3,29M","-2,74%"
"27.09.2024","39,420","39,520","39,560","38,580","3,73M","-0,30%"
"26.09.2024","39,540","39,000","40,500","38,900","5,83M","2,44%"
"25.09.2024","38,600","38,940","39,800","38,340","4,76M","-0,67%"
"24.09.2024","38,860","38,880","39,180","38,420","3,43M","0,94%"
"23.09.2024","38,500","37,760","38,580","37,220","4,43M","2,28%"
"20.09.2024","37,640","37,720","38,240","37,440","3,27M","-0,21%"
"19.09.2024","37,720","37,320","37,880","37,220","4,46M","2,00%"
"18.09.2024","36,980","37,380","37,600","36,680","2,20M","-1,81%"
"17.09.2024","37,660","37,240","37,700","36,820","2,15M","1,78%"
"16.09.2024","37,000","36,900","37,400","36,680","3,00M","0,05%"
"13.09.2024","36,980","36,820","37,300","36,600","2,73M","0,49%"
"12.09.2024","36,800","36,540","36,920","35,640","3,63M","0,71%"
"11.09.2024","36,540","37,880","38,260","35,640","4,36M","-3,84%"
"10.09.2024","38,000","37,600","38,000","36,900","2,25M","1,06%"
"09.09.2024","37,600","37,640","38,220","37,440","2,23M","0,00%"
"06.09.2024","37,600","37,920","38,440","37,580","3,11M","-2,34%"
"05.09.2024","38,500","39,000","39,280","38,420","1,97M","-1,38%"
