"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.11.2024","95,750","97,000","97,400","95,350","3,34M","-0,67%"
"26.11.2024","96,400","97,600","98,050","95,800","3,22M","-1,23%"
"25.11.2024","97,600","97,100","98,100","96,700","4,19M","1,30%"
"22.11.2024","96,350","95,000","96,700","93,050","4,56M","1,47%"
"21.11.2024","94,950","91,100","95,300","91,100","3,06M","4,57%"
"20.11.2024","90,800","93,500","94,600","90,800","4,06M","-2,21%"
"19.11.2024","92,850","94,900","95,200","91,650","3,71M","-1,95%"
"18.11.2024","94,700","93,800","95,150","91,800","4,06M","1,07%"
"15.11.2024","93,700","94,450","95,300","93,650","3,55M","-0,79%"
"14.11.2024","94,450","93,150","94,750","93,000","3,81M","1,61%"
"13.11.2024","92,950","91,700","94,300","90,350","5,15M","0,81%"
"12.11.2024","92,200","93,000","93,550","91,950","3,13M","-1,23%"
"11.11.2024","93,350","94,300","94,650","92,850","5,49M","-0,27%"
"08.11.2024","93,600","92,000","94,300","91,000","6,02M","1,19%"
"07.11.2024","92,500","86,350","93,350","86,000","8,43M","7,12%"
"06.11.2024","86,350","83,700","86,700","82,500","4,82M","3,29%"
"05.11.2024","83,600","83,400","84,350","81,700","3,04M","0,60%"
"04.11.2024","83,100","85,000","85,350","82,350","4,13M","-2,86%"
"01.11.2024","85,550","86,350","87,800","85,300","3,22M","-0,93%"
"31.10.2024","86,350","89,400","89,850","85,550","3,98M","-3,41%"
"30.10.2024","89,400","89,550","90,800","88,800","3,63M","-0,17%"
"28.10.2024","89,550","88,800","90,150","88,350","1,13M","0,84%"
"25.10.2024","88,800","87,500","89,050","86,600","3,15M","1,20%"
"24.10.2024","87,750","85,350","87,750","85,350","3,73M","3,24%"
"23.10.2024","85,000","86,000","87,000","84,100","3,61M","-1,16%"
"22.10.2024","86,000","84,500","86,800","83,800","3,43M","1,78%"
"21.10.2024","84,500","86,300","86,800","84,500","2,90M","-1,74%"
"18.10.2024","86,000","87,350","88,100","85,650","2,69M","-1,38%"
"17.10.2024","87,200","89,850","90,400","86,400","4,25M","0,17%"
"16.10.2024","87,050","84,800","87,450","84,250","3,39M","2,65%"
"15.10.2024","84,800","82,600","85,450","82,500","3,06M","2,54%"
"14.10.2024","82,700","84,750","85,250","82,150","3,31M","-2,42%"
