"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","50,25","50,80","50,95","50,00","779,52K","-0,99%"
"03.04.2025","50,75","51,30","52,05","50,45","1,85M","-1,17%"
"02.04.2025","51,35","52,50","53,40","51,35","2,59M","-0,58%"
"28.03.2025","51,65","50,80","52,60","49,38","2,96M","2,08%"
"27.03.2025","50,60","52,00","53,30","50,60","4,01M","3,31%"
"26.03.2025","48,98","49,78","49,78","48,40","3,24M","-1,65%"
"25.03.2025","49,80","47,14","50,40","47,14","3,97M","6,09%"
"24.03.2025","46,94","46,54","49,00","44,62","3,49M","0,77%"
"21.03.2025","46,58","50,30","50,45","45,50","2,89M","-7,40%"
"20.03.2025","50,30","49,60","51,35","49,04","3,72M","1,49%"
"19.03.2025","49,56","51,00","53,60","49,56","3,38M","-9,97%"
"18.03.2025","55,05","55,10","56,75","53,45","5,23M","0,09%"
"17.03.2025","55,00","54,05","55,55","54,05","3,76M","2,14%"
"14.03.2025","53,85","53,45","54,35","53,20","2,93M","1,41%"
"13.03.2025","53,10","52,75","53,70","52,75","2,29M","0,76%"
"12.03.2025","52,70","53,40","53,65","52,25","2,95M","-2,32%"
"11.03.2025","53,95","54,30","54,85","53,80","2,61M","-0,64%"
"10.03.2025","54,30","55,35","55,95","54,30","3,17M","-1,81%"
"07.03.2025","55,30","54,45","56,10","54,00","4,26M","1,56%"
"06.03.2025","54,45","54,10","55,25","54,10","3,60M","1,11%"
"05.03.2025","53,85","59,65","59,65","53,85","9,83M","-9,95%"
"04.03.2025","59,80","57,05","59,95","54,65","2,86M","5,65%"
"03.03.2025","56,60","56,60","57,70","56,45","3,18M","0,80%"
"28.02.2025","56,15","54,65","56,60","54,20","3,05M","2,84%"
"27.02.2025","54,60","53,80","55,70","53,60","3,49M","1,87%"
"26.02.2025","53,60","54,20","54,60","53,35","3,89M","-0,83%"
"25.02.2025","54,05","55,85","56,70","54,05","4,68M","-3,05%"
"24.02.2025","55,75","57,90","57,90","55,70","5,00M","-3,13%"
"21.02.2025","57,55","63,00","63,75","57,55","11,14M","-9,94%"
"20.02.2025","63,90","61,30","65,00","60,50","2,83M","4,93%"
"19.02.2025","60,90","62,20","62,60","60,50","5,07M","-1,69%"
"18.02.2025","61,95","69,50","70,45","61,95","7,53M","-9,96%"
"17.02.2025","68,80","68,95","69,90","67,70","2,03M","2,23%"
"14.02.2025","67,30","68,15","68,25","66,45","1,50M","-0,81%"
"13.02.2025","67,85","68,00","68,80","67,25","1,87M","0,07%"
"12.02.2025","67,80","71,25","73,95","67,80","4,24M","-4,78%"
"11.02.2025","71,20","71,40","73,30","70,55","5,01M","2,59%"
"10.02.2025","69,40","66,50","72,65","66,50","4,79M","4,60%"
"07.02.2025","66,35","65,35","66,85","65,10","2,02M","1,53%"
"06.02.2025","65,35","64,35","67,65","64,35","1,76M","1,87%"
"05.02.2025","64,15","66,00","66,35","62,75","2,82M","-2,36%"
"04.02.2025","65,70","66,00","67,30","64,95","3,36M","-0,53%"
"03.02.2025","66,05","71,90","72,90","66,05","6,44M","-9,95%"
"31.01.2025","73,35","71,50","75,95","68,50","3,33M","2,59%"
"30.01.2025","71,50","74,00","74,40","71,50","2,80M","-2,32%"
"29.01.2025","73,20","74,40","75,25","72,55","2,70M","-1,68%"
"28.01.2025","74,45","75,20","77,85","74,05","5,48M","0,07%"
"27.01.2025","74,40","74,70","75,35","73,40","2,88M","-0,27%"
"24.01.2025","74,60","73,15","76,45","73,15","5,15M","1,98%"
"23.01.2025","73,15","76,05","76,90","72,95","8,15M","-4,25%"
"22.01.2025","76,40","82,90","82,90","76,40","22,06M","-9,96%"
"21.01.2025","84,85","79,10","86,00","76,30","3,31M","7,47%"
"20.01.2025","78,95","78,50","79,75","77,50","2,68M","2,53%"
"17.01.2025","77,00","78,25","79,30","76,20","3,07M","0,13%"
"16.01.2025","76,90","74,25","77,35","74,25","3,09M","3,64%"
"15.01.2025","74,20","74,00","74,35","72,90","2,57M","0,34%"
"14.01.2025","73,95","71,00","74,30","70,65","4,31M","4,45%"
"13.01.2025","70,80","71,10","71,40","70,05","1,99M","-0,42%"
"10.01.2025","71,10","71,70","72,50","70,65","1,53M","-0,56%"
"09.01.2025","71,50","71,55","72,00","70,20","1,73M","0,00%"
"08.01.2025","71,50","70,00","71,70","69,75","3,41M","2,29%"
"07.01.2025","69,90","68,85","71,80","68,00","4,17M","1,53%"
"06.01.2025","68,85","67,90","69,20","67,20","3,20M","1,47%"
"03.01.2025","67,85","69,10","69,45","67,20","2,48M","-1,60%"
"02.01.2025","68,95","67,95","69,40","67,55","2,68M","1,47%"
"31.12.2024","67,95","68,00","68,75","67,00","2,40M","-0,15%"
"30.12.2024","68,05","69,50","69,80","67,40","3,18M","1,26%"
"27.12.2024","67,20","66,80","67,75","66,00","3,48M","0,60%"
"26.12.2024","66,80","64,30","67,45","63,90","5,15M","4,05%"
"25.12.2024","64,20","62,60","65,25","62,30","2,83M","3,72%"
"24.12.2024","61,90","61,90","62,80","60,85","2,22M","0,00%"
"23.12.2024","61,90","63,30","63,80","61,15","2,18M","-1,67%"
"20.12.2024","62,95","61,30","64,15","60,35","2,68M","2,69%"
"19.12.2024","61,30","62,50","62,65","60,80","2,83M","-2,54%"
"18.12.2024","62,90","63,95","65,15","62,15","3,57M","-1,64%"
"17.12.2024","63,95","63,40","64,90","60,60","7,72M","1,35%"
"16.12.2024","63,10","60,25","63,95","60,25","8,09M","5,34%"
"13.12.2024","59,90","57,35","60,45","57,00","8,21M","5,09%"
"12.12.2024","57,00","57,20","57,95","56,80","4,57M","0,00%"
"11.12.2024","57,00","57,10","57,90","56,80","3,97M","0,09%"
"10.12.2024","56,95","58,10","58,20","55,50","8,62M","0,80%"
"09.12.2024","56,50","51,70","56,50","51,50","9,74M","9,92%"
"06.12.2024","51,40","50,95","51,55","50,65","2,21M","1,38%"
"05.12.2024","50,70","50,50","51,40","50,45","2,08M","0,60%"
"04.12.2024","50,40","50,40","50,95","50,30","1,55M","0,20%"
"03.12.2024","50,30","50,30","50,90","50,10","1,92M","0,40%"
"02.12.2024","50,10","50,30","50,85","49,92","2,03M","-0,69%"
"29.11.2024","50,45","50,90","51,30","50,30","2,01M","-0,59%"
"28.11.2024","50,75","51,65","51,95","50,65","1,50M","-1,74%"
"27.11.2024","51,65","53,00","53,25","51,65","2,02M","-1,99%"
"26.11.2024","52,70","53,15","53,60","52,55","2,56M","-0,66%"
"25.11.2024","53,05","53,45","53,80","53,05","4,43M","0,28%"
"22.11.2024","52,90","53,30","53,60","52,20","2,07M","-0,56%"
"21.11.2024","53,20","52,50","53,50","51,80","2,58M","1,72%"
"20.11.2024","52,30","54,00","54,50","51,60","1,59M","-2,33%"
"19.11.2024","53,55","55,35","55,85","53,15","2,74M","-2,90%"
"18.11.2024","55,15","54,20","56,45","54,20","4,43M","2,04%"
"15.11.2024","54,05","54,50","54,95","53,90","3,15M","-0,18%"
"14.11.2024","54,15","53,45","54,55","53,15","3,72M","1,79%"
"13.11.2024","53,20","53,05","54,80","52,75","2,38M","-0,09%"
"12.11.2024","53,25","54,60","55,25","53,05","2,72M","-4,91%"
"11.11.2024","56,00","54,60","57,35","54,60","4,00M","3,70%"
"08.11.2024","54,00","52,90","54,60","52,65","2,96M","2,08%"
"07.11.2024","52,90","53,90","54,65","52,25","2,70M","-1,86%"
"06.11.2024","53,90","51,50","55,20","51,05","4,44M","5,58%"
"05.11.2024","51,05","52,35","52,75","49,76","1,59M","-2,20%"
"04.11.2024","52,20","54,45","54,75","52,10","2,49M","-4,04%"
"01.11.2024","54,40","53,85","55,60","53,25","4,23M","0,83%"
"31.10.2024","53,95","53,75","54,95","52,65","2,27M","0,75%"
"30.10.2024","53,55","54,10","56,25","53,55","5,02M","-1,02%"
"28.10.2024","54,10","51,80","55,90","51,25","4,23M","4,44%"
"25.10.2024","51,80","52,55","52,95","51,00","2,85M","-1,43%"
