"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","86,25","86,15","88,85","84,50","3,99M","0,12%"
"03.04.2025","86,15","89,50","90,65","86,15","4,00M","-3,53%"
"02.04.2025","89,30","89,85","91,65","89,25","5,15M","-0,61%"
"28.03.2025","89,85","88,60","92,50","87,55","8,86M","1,53%"
"27.03.2025","88,50","92,55","93,95","88,50","7,35M","-4,32%"
"26.03.2025","92,50","96,00","96,10","92,10","8,72M","-4,34%"
"25.03.2025","96,70","98,00","101,60","94,20","16,06M","-0,26%"
"24.03.2025","96,95","94,50","99,40","92,50","18,28M","3,69%"
"21.03.2025","93,50","98,50","99,50","88,00","19,90M","-2,86%"
"20.03.2025","96,25","89,00","96,25","89,00","21,77M","10,00%"
"19.03.2025","87,50","91,50","100,80","86,00","31,15M","-8,42%"
"18.03.2025","95,55","87,20","95,55","86,80","20,19M","9,95%"
"17.03.2025","86,90","86,30","87,55","85,65","4,30M","1,05%"
"14.03.2025","86,00","89,10","89,15","85,50","4,19M","-2,38%"
"13.03.2025","88,10","86,70","90,50","86,45","5,64M","1,61%"
"12.03.2025","86,70","89,70","89,80","86,25","7,05M","-4,41%"
"11.03.2025","90,70","90,10","93,60","86,20","14,61M","0,39%"
"10.03.2025","90,35","86,35","92,20","85,50","10,02M","5,55%"
"07.03.2025","85,60","84,60","86,35","82,35","9,19M","3,95%"
"06.03.2025","82,35","76,95","83,90","76,95","8,74M","7,30%"
"05.03.2025","76,75","73,90","77,00","73,80","4,80M","3,93%"
"04.03.2025","73,85","72,25","76,35","71,55","8,55M","2,57%"
"03.03.2025","72,00","72,85","75,20","71,25","5,21M","-0,21%"
"28.02.2025","72,15","71,50","73,20","70,85","4,27M","0,91%"
"27.02.2025","71,50","68,55","71,95","68,10","5,14M","4,23%"
"26.02.2025","68,60","67,00","69,70","66,55","3,34M","2,31%"
"25.02.2025","67,05","68,90","68,90","67,05","1,69M","-2,69%"
"24.02.2025","68,90","68,40","69,80","67,95","2,07M","1,77%"
"21.02.2025","67,70","70,50","70,90","67,15","2,39M","-3,97%"
"20.02.2025","70,50","69,75","71,25","69,65","1,67M","1,15%"
"19.02.2025","69,70","70,55","71,70","69,60","1,99M","-1,20%"
"18.02.2025","70,55","71,50","71,50","69,00","2,38M","-1,33%"
"17.02.2025","71,50","71,90","72,40","71,25","2,06M","-0,56%"
"14.02.2025","71,90","71,15","72,25","70,45","2,07M","1,20%"
"13.02.2025","71,05","72,50","72,70","70,95","1,85M","-2,00%"
"12.02.2025","72,50","73,25","74,10","72,20","1,87M","-1,36%"
"11.02.2025","73,50","74,20","74,40","72,90","1,55M","-0,94%"
"10.02.2025","74,20","76,05","76,25","73,75","1,95M","-2,43%"
"07.02.2025","76,05","75,70","78,50","75,25","3,89M","0,93%"
"06.02.2025","75,35","72,35","75,35","72,35","2,84M","4,51%"
"05.02.2025","72,10","74,40","74,55","71,95","1,92M","-2,96%"
"04.02.2025","74,30","74,00","75,30","73,90","2,69M","0,41%"
"03.02.2025","74,00","75,90","75,90","73,75","2,04M","-2,95%"
"31.01.2025","76,25","77,60","78,25","75,70","3,04M","1,06%"
"30.01.2025","75,45","76,70","78,05","75,45","2,23M","-1,63%"
"29.01.2025","76,70","77,65","79,65","76,60","6,42M","1,32%"
"28.01.2025","75,70","75,80","76,80","74,85","2,13M","0,07%"
"27.01.2025","75,65","76,40","76,95","75,30","2,40M","-0,98%"
"24.01.2025","76,40","77,80","78,10","75,85","2,20M","-1,61%"
"23.01.2025","77,65","76,10","79,30","75,60","3,37M","2,17%"
"22.01.2025","76,00","76,15","76,60","75,45","1,98M","0,13%"
"21.01.2025","75,90","77,50","77,70","75,70","2,11M","-2,00%"
"20.01.2025","77,45","79,10","79,90","77,35","2,97M","-2,09%"
"17.01.2025","79,10","77,15","79,65","76,50","4,03M","2,20%"
"16.01.2025","77,40","78,70","79,10","76,85","3,00M","-1,53%"
"15.01.2025","78,60","78,35","80,30","77,55","3,45M","0,45%"
"14.01.2025","78,25","80,55","80,90","78,15","3,09M","-2,67%"
"13.01.2025","80,40","83,25","83,65","79,95","3,48M","-3,19%"
"10.01.2025","83,05","84,45","85,00","83,05","2,25M","-1,54%"
"09.01.2025","84,35","83,85","84,50","83,30","2,63M","0,96%"
"08.01.2025","83,55","85,60","85,95","83,15","4,17M","-2,28%"
"07.01.2025","85,50","83,80","86,20","83,40","6,39M","2,52%"
"06.01.2025","83,40","82,90","85,00","82,85","4,34M","0,72%"
"03.01.2025","82,80","83,70","84,50","82,65","3,41M","-1,08%"
"02.01.2025","83,70","84,95","86,30","83,20","6,15M","1,82%"
"31.12.2024","82,20","83,45","83,45","82,00","2,87M","-1,50%"
"30.12.2024","83,45","84,50","85,15","83,45","3,87M","-1,07%"
"27.12.2024","84,35","85,40","86,10","84,10","4,36M","-1,17%"
"26.12.2024","85,35","85,40","88,30","84,55","6,99M","0,18%"
"25.12.2024","85,20","85,25","86,75","84,65","4,43M","0,65%"
"24.12.2024","84,65","86,50","87,75","84,45","3,98M","-1,91%"
"23.12.2024","86,30","89,40","89,60","85,65","7,23M","-3,09%"
"20.12.2024","89,05","91,60","93,05","89,05","11,06M","-1,55%"
"19.12.2024","90,45","89,35","91,35","88,55","8,32M","1,01%"
"18.12.2024","89,55","89,30","91,05","89,05","6,00M","0,28%"
"17.12.2024","89,30","90,90","91,25","89,20","5,82M","-1,76%"
"16.12.2024","90,90","90,60","91,70","89,85","6,17M","0,55%"
"13.12.2024","90,40","89,00","90,75","88,80","5,61M","1,80%"
"12.12.2024","88,80","88,90","89,45","88,50","3,69M","0,00%"
"11.12.2024","88,80","89,00","89,50","87,75","4,14M","-0,17%"
"10.12.2024","88,95","90,20","90,45","88,50","3,38M","-1,28%"
