"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.11.2024","96,15","96,90","98,80","95,45","1,17M","-0,31%"
"26.11.2024","96,45","94,60","101,90","94,60","2,43M","2,23%"
"25.11.2024","94,35","91,40","95,20","91,15","1,32M","3,68%"
"22.11.2024","91,00","92,15","92,85","89,30","815,59K","-1,25%"
"21.11.2024","92,15","87,55","92,50","87,40","1,45M","5,43%"
"20.11.2024","87,40","86,00","90,80","85,75","1,50M","1,63%"
"19.11.2024","86,00","86,20","86,80","84,20","1,12M","-0,23%"
"18.11.2024","86,20","88,85","89,50","85,80","1,25M","-2,93%"
"15.11.2024","88,80","90,75","92,95","88,80","1,09M","-1,99%"
"14.11.2024","90,60","86,00","92,80","86,00","1,20M","4,86%"
"13.11.2024","86,40","85,55","87,25","84,20","837,01K","0,99%"
"12.11.2024","85,55","83,85","86,50","83,10","1,40M","2,03%"
"11.11.2024","83,85","84,45","87,25","83,10","1,13M","-0,36%"
"08.11.2024","84,15","83,00","84,80","82,60","769,63K","2,25%"
"07.11.2024","82,30","82,60","83,60","81,90","553,45K","-0,12%"
"06.11.2024","82,40","83,95","84,80","82,40","970,84K","-1,90%"
"05.11.2024","84,00","85,60","86,60","83,95","552,27K","-1,87%"
"04.11.2024","85,60","89,40","92,20","85,55","1,12M","-4,25%"
"01.11.2024","89,40","89,80","90,65","87,30","951,23K","-0,67%"
"31.10.2024","90,00","87,00","90,00","86,05","911,31K","3,03%"
"30.10.2024","87,35","83,65","88,80","83,00","1,79M","4,49%"
"28.10.2024","83,60","85,35","86,00","82,50","1,01M","-2,05%"
"25.10.2024","85,35","88,90","89,00","85,25","1,68M","-3,34%"
"24.10.2024","88,30","92,20","93,65","87,60","3,69M","-4,02%"
"23.10.2024","92,00","94,30","95,00","91,40","610,21K","-2,39%"
"22.10.2024","94,25","93,10","94,85","92,65","799,42K","1,62%"
"21.10.2024","92,75","97,90","98,10","92,50","656,01K","-5,26%"
"18.10.2024","97,90","100,20","101,40","96,95","381,71K","-2,30%"
"17.10.2024","100,20","99,50","101,50","98,20","615,46K","0,70%"
"16.10.2024","99,50","98,30","99,50","96,00","798,24K","1,74%"
"15.10.2024","97,80","100,50","102,00","97,30","768,66K","-2,69%"
"14.10.2024","100,50","103,00","103,00","97,30","728,86K","-2,71%"
"11.10.2024","103,30","106,70","106,70","101,90","592,00K","-3,19%"
"10.10.2024","106,70","108,20","108,50","106,10","351,47K","-1,39%"
"09.10.2024","108,20","107,90","108,90","103,10","565,50K","1,60%"
"08.10.2024","106,50","107,80","109,20","105,50","560,23K","-1,21%"
"07.10.2024","107,80","108,40","113,00","106,20","729,88K","-0,55%"
"04.10.2024","108,40","104,50","108,40","103,30","679,26K","3,53%"
"03.10.2024","104,70","100,90","105,40","100,30","671,93K","3,77%"
"02.10.2024","100,90","102,90","102,90","100,50","483,67K","-2,04%"
"01.10.2024","103,00","108,00","108,50","102,00","460,02K","-4,63%"
"30.09.2024","108,00","104,70","108,00","103,60","661,48K","3,15%"
"27.09.2024","104,70","107,50","107,90","103,60","620,65K","-2,79%"
"26.09.2024","107,70","110,80","111,90","107,40","704,99K","-2,80%"
"25.09.2024","110,80","110,00","113,80","107,90","1,27M","0,73%"
"24.09.2024","110,00","115,20","115,50","109,20","1,04M","-3,17%"
"23.09.2024","113,60","110,50","118,40","110,50","1,34M","3,37%"
"20.09.2024","109,90","109,00","110,00","106,90","3,50M","1,57%"
"19.09.2024","108,20","107,50","109,00","106,70","574,37K","0,65%"
"18.09.2024","107,50","107,90","109,60","105,60","796,65K","-0,37%"
"17.09.2024","107,90","106,20","108,30","105,10","534,53K","1,60%"
"16.09.2024","106,20","105,70","108,40","105,70","613,17K","-1,12%"
"13.09.2024","107,40","103,00","107,60","101,00","993,64K","4,27%"
"12.09.2024","103,00","103,30","106,00","100,40","1,02M","-0,29%"
"11.09.2024","103,30","106,00","107,00","99,60","1,86M","-3,82%"
"10.09.2024","107,40","108,60","110,60","105,70","988,47K","-1,10%"
"09.09.2024","108,60","103,00","112,50","103,00","1,80M","5,44%"
"06.09.2024","103,00","104,00","105,00","101,70","487,52K","-0,96%"
"05.09.2024","104,00","103,10","105,50","102,20","759,14K","0,87%"
"04.09.2024","103,10","105,40","105,40","101,70","961,47K","-2,37%"
"03.09.2024","105,60","105,90","107,30","103,10","1,22M","2,33%"
"02.09.2024","103,20","102,80","104,60","100,60","1,60M","0,39%"
"29.08.2024","102,80","94,15","102,80","92,75","3,39M","9,77%"
"28.08.2024","93,65","94,90","97,10","93,35","842,93K","1,19%"
"27.08.2024","92,55","92,00","94,00","91,60","713,01K","0,60%"
"26.08.2024","92,00","94,65","96,00","92,00","1,11M","-2,80%"
"23.08.2024","94,65","96,90","99,80","94,60","1,23M","-2,42%"
"22.08.2024","97,00","95,60","98,20","93,30","1,07M","1,46%"
"21.08.2024","95,60","95,00","100,40","94,80","1,52M","0,63%"
"20.08.2024","95,00","97,00","99,30","95,00","990,29K","-2,26%"
"19.08.2024","97,20","98,85","100,80","93,95","1,33M","-1,67%"
"16.08.2024","98,85","107,60","111,70","98,85","2,37M","-6,30%"
"15.08.2024","105,50","95,95","105,50","94,25","1,63M","9,95%"
"14.08.2024","95,95","98,85","99,70","95,60","772,34K","-2,84%"
"13.08.2024","98,75","99,95","101,80","95,45","1,40M","-1,15%"
"12.08.2024","99,90","103,60","105,10","99,90","891,41K","-3,01%"
"09.08.2024","103,00","106,60","109,40","103,00","848,76K","-3,38%"
"08.08.2024","106,60","107,60","107,70","104,70","738,45K","-0,84%"
"07.08.2024","107,50","106,50","108,30","103,10","1,34M","1,22%"
"06.08.2024","106,20","110,20","113,90","105,60","1,31M","-3,45%"
"05.08.2024","110,00","109,10","115,70","101,10","2,44M","-2,05%"
"02.08.2024","112,30","119,00","119,00","111,50","1,37M","-5,63%"
"01.08.2024","119,00","119,30","125,50","117,50","2,56M","1,88%"
"31.07.2024","116,80","106,00","116,80","103,40","3,17M","9,98%"
"30.07.2024","106,20","112,00","114,10","103,00","3,38M","-5,77%"
"29.07.2024","112,70","119,00","119,60","112,70","913,93K","-5,29%"
"26.07.2024","119,00","122,00","122,50","117,60","1,22M","-2,46%"
"25.07.2024","122,00","126,50","126,50","120,80","667,04K","-2,56%"
"24.07.2024","125,20","126,20","128,20","123,10","846,87K","-0,79%"
"23.07.2024","126,20","132,30","133,10","125,90","941,83K","-4,61%"
"22.07.2024","132,30","135,20","136,20","128,50","1,58M","-2,14%"
"19.07.2024","135,20","137,10","139,70","134,50","650,34K","-1,39%"
"18.07.2024","137,10","137,30","137,80","135,50","782,64K","0,07%"
"17.07.2024","137,00","136,60","137,50","133,30","881,25K","0,81%"
"16.07.2024","135,90","135,00","137,00","133,20","1,32M","0,59%"
"12.07.2024","135,10","139,30","139,40","134,80","1,63M","-3,02%"
"11.07.2024","139,30","142,30","146,20","138,70","1,99M","-1,07%"
"10.07.2024","140,80","132,00","142,30","130,10","2,13M","6,51%"
"09.07.2024","132,20","127,80","133,00","126,50","1,69M","3,93%"
"08.07.2024","127,20","129,80","134,00","127,20","1,66M","-2,08%"
"05.07.2024","129,90","130,40","133,00","128,30","1,07M","-0,54%"
"04.07.2024","130,60","130,30","132,20","127,10","1,49M","0,08%"
"03.07.2024","130,50","127,20","133,00","123,40","1,94M","2,59%"
"02.07.2024","127,20","121,00","127,40","117,00","1,06M","5,12%"
"01.07.2024","121,00","126,40","127,10","117,00","1,77M","-4,27%"
"28.06.2024","126,40","131,60","133,00","125,30","1,59M","-3,88%"
"27.06.2024","131,50","129,10","131,50","122,70","2,26M","2,02%"
"26.06.2024","128,90","130,30","139,00","127,60","2,65M","-0,85%"
"25.06.2024","130,00","125,00","130,50","121,60","2,26M","4,00%"
"24.06.2024","125,00","126,70","132,80","123,00","1,63M","-1,26%"
"21.06.2024","126,60","127,70","130,80","122,60","2,14M","-0,24%"
"20.06.2024","126,90","131,10","135,30","124,00","2,55M","-3,20%"
"14.06.2024","131,10","133,00","138,00","127,10","3,51M","0,61%"
"13.06.2024","130,30","118,50","130,30","118,40","3,31M","9,96%"
"12.06.2024","118,50","116,00","120,00","113,30","3,01M","3,13%"
"11.06.2024","114,90","103,00","114,90","102,90","2,86M","9,85%"
"10.06.2024","104,60","106,80","111,80","97,10","2,93M","-2,24%"
"07.06.2024","107,00","114,90","116,00","105,00","3,14M","-6,88%"
"06.06.2024","114,90","117,20","121,40","112,90","4,44M","-1,63%"
"05.06.2024","116,80","108,00","116,80","102,70","4,65M","9,98%"
"04.06.2024","106,20","97,10","106,40","97,10","3,94M","9,48%"
"03.06.2024","97,00","94,00","98,00","91,20","1,90M","5,43%"
"31.05.2024","92,00","90,00","93,05","88,00","2,32M","1,60%"
"30.05.2024","90,55","89,00","90,55","80,55","3,41M","1,68%"
"29.05.2024","89,05","85,85","90,70","85,40","1,87M","3,73%"
"28.05.2024","85,85","87,60","88,40","85,25","1,42M","-2,00%"
"27.05.2024","87,60","88,50","89,85","85,50","1,80M","0,46%"
"24.05.2024","87,20","83,50","88,30","83,15","1,77M","4,43%"
