"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.11.2024","88,750","89,850","91,550","87,550","2,56M","0,06%"
"26.11.2024","88,700","85,100","89,300","84,700","4,15M","4,72%"
"25.11.2024","84,700","81,800","86,000","81,800","3,44M","3,48%"
"22.11.2024","81,850","83,650","83,650","81,150","2,54M","-1,68%"
"21.11.2024","83,250","82,500","84,100","81,850","1,96M","0,91%"
"20.11.2024","82,500","83,250","83,450","80,300","1,77M","-0,48%"
"19.11.2024","82,900","86,350","86,400","82,800","1,53M","-3,60%"
"18.11.2024","86,000","87,450","88,300","84,450","2,00M","-1,15%"
"15.11.2024","87,000","87,000","87,050","84,150","1,93M","1,28%"
"14.11.2024","85,900","83,650","86,550","83,650","1,68M","2,81%"
"13.11.2024","83,550","83,400","84,200","82,450","1,09M","0,18%"
"12.11.2024","83,400","83,200","84,350","82,250","1,51M","0,30%"
"11.11.2024","83,150","84,700","85,500","83,100","1,59M","-1,01%"
"08.11.2024","84,000","81,300","84,500","80,950","1,64M","3,32%"
"07.11.2024","81,300","81,900","82,500","80,500","1,15M","-0,73%"
"06.11.2024","81,900","81,700","83,300","81,400","1,21M","0,12%"
"05.11.2024","81,800","83,000","83,000","80,200","772,92K","-0,37%"
"04.11.2024","82,100","83,550","85,050","81,200","1,59M","-2,03%"
"01.11.2024","83,800","86,050","86,200","83,800","1,58M","-2,61%"
"31.10.2024","86,050","85,000","86,850","84,100","2,00M","1,24%"
"30.10.2024","85,000","81,400","85,550","80,250","3,01M","4,42%"
"28.10.2024","81,400","83,500","84,100","80,150","1,07M","-1,69%"
"25.10.2024","82,800","82,850","83,350","81,550","1,24M","0,00%"
"24.10.2024","82,800","79,300","83,250","79,250","2,53M","5,21%"
"23.10.2024","78,700","80,400","80,600","78,350","870,91K","-2,11%"
"22.10.2024","80,400","77,050","81,000","77,050","1,80M","4,48%"
"21.10.2024","76,950","78,450","79,200","76,500","1,26M","-1,79%"
"18.10.2024","78,350","81,100","81,450","78,000","2,38M","-3,87%"
"17.10.2024","81,500","80,900","82,850","80,400","1,64M","0,74%"
"16.10.2024","80,900","77,800","81,350","76,850","1,96M","4,05%"
"15.10.2024","77,750","77,000","79,100","77,000","1,32M","-0,19%"
"14.10.2024","77,900","80,250","80,900","77,550","1,48M","-3,83%"
"11.10.2024","81,000","80,650","82,150","80,200","1,23M","0,50%"
"10.10.2024","80,600","82,150","83,250","80,550","2,29M","-1,16%"
"09.10.2024","81,550","80,250","81,900","78,750","1,58M","2,07%"
"08.10.2024","79,900","80,400","82,150","79,400","1,84M","-0,62%"
"07.10.2024","80,400","82,250","82,700","78,550","2,54M","-1,89%"
"04.10.2024","81,950","77,250","81,950","76,750","2,84M","7,26%"
"03.10.2024","76,400","74,500","78,050","74,050","1,68M","1,93%"
"02.10.2024","74,950","76,100","76,100","73,350","1,30M","-1,51%"
"01.10.2024","76,100","79,950","80,000","76,000","1,68M","-4,93%"
"30.09.2024","80,050","77,850","80,050","77,400","1,12M","1,97%"
"27.09.2024","78,500","80,300","80,450","78,050","1,27M","-2,12%"
"26.09.2024","80,200","81,150","81,750","79,450","1,80M","-1,05%"
"25.09.2024","81,050","82,950","83,450","80,550","1,71M","-2,29%"
"24.09.2024","82,950","82,600","84,350","81,600","2,18M","0,55%"
