"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.11.2024","143,20","145,10","146,20","142,80","2,24M","-0,21%"
"26.11.2024","143,50","143,50","143,70","140,10","3,21M","-0,35%"
"25.11.2024","144,00","145,00","146,00","142,60","5,23M","1,05%"
"22.11.2024","142,50","138,00","142,50","137,70","1,35M","3,04%"
"21.11.2024","138,30","133,50","139,10","133,00","1,48M","4,38%"
"20.11.2024","132,50","136,40","138,80","132,50","1,51M","-3,00%"
"19.11.2024","136,60","140,50","142,20","135,20","2,09M","-2,50%"
"18.11.2024","140,10","139,00","140,20","136,70","1,69M","1,16%"
"15.11.2024","138,50","137,40","140,30","137,30","2,12M","0,80%"
"14.11.2024","137,40","137,30","139,90","136,50","1,54M","0,15%"
"13.11.2024","137,20","134,50","138,50","134,00","1,97M","0,88%"
"12.11.2024","136,00","137,70","137,80","135,00","1,39M","-1,23%"
"11.11.2024","137,70","135,90","138,20","135,70","2,01M","1,40%"
"08.11.2024","135,80","131,00","136,20","130,40","2,94M","2,72%"
"07.11.2024","132,20","127,70","132,40","127,60","3,07M","3,77%"
"06.11.2024","127,40","125,00","128,60","124,40","1,92M","2,08%"
"05.11.2024","124,80","124,30","126,00","123,30","1,66M","0,89%"
"04.11.2024","123,70","128,10","128,50","123,00","2,11M","-3,81%"
"01.11.2024","128,60","128,70","130,10","128,30","1,95M","0,08%"
"31.10.2024","128,50","131,90","132,20","128,50","2,58M","-2,28%"
"30.10.2024","131,50","132,10","133,20","131,50","2,43M","-0,30%"
"28.10.2024","131,90","133,90","134,40","130,70","3,19M","-5,38%"
"25.10.2024","139,40","139,70","140,40","138,20","1,36M","-1,34%"
"24.10.2024","141,30","140,10","141,90","139,20","1,67M","1,44%"
"23.10.2024","139,30","140,30","142,90","139,30","1,75M","-0,64%"
"22.10.2024","140,20","139,10","141,40","138,80","1,99M","0,86%"
"21.10.2024","139,00","147,00","147,10","139,00","2,01M","-5,44%"
"18.10.2024","147,00","143,50","148,20","143,40","3,85M","2,65%"
"17.10.2024","143,20","139,70","143,60","139,40","1,68M","2,51%"
"16.10.2024","139,70","139,90","140,00","137,00","1,99M","-0,43%"
"15.10.2024","140,30","136,60","141,20","136,30","1,68M","2,93%"
"14.10.2024","136,30","140,50","140,50","135,10","1,29M","-2,71%"
"11.10.2024","140,10","142,50","144,80","139,10","2,02M","-0,99%"
"10.10.2024","141,50","144,60","146,40","141,50","1,88M","-2,01%"
"09.10.2024","144,40","143,80","144,60","140,50","1,18M","0,42%"
"08.10.2024","143,80","143,00","144,50","140,30","1,77M","1,77%"
"07.10.2024","141,30","139,10","143,20","139,10","1,22M","1,29%"
"04.10.2024","139,50","139,20","139,60","134,10","2,44M","0,58%"
"03.10.2024","138,70","136,80","140,70","135,80","1,99M","1,76%"
"02.10.2024","136,30","138,60","140,10","136,00","2,10M","-1,80%"
"01.10.2024","138,80","145,00","145,30","137,80","2,57M","-3,81%"
"30.09.2024","144,30","147,20","148,60","143,50","2,50M","-2,43%"
"27.09.2024","147,90","147,00","148,60","145,80","1,66M","1,16%"
"26.09.2024","146,20","145,80","148,40","145,60","1,51M","0,27%"
"25.09.2024","145,80","147,30","149,50","145,10","1,82M","-1,02%"
"24.09.2024","147,30","146,00","148,60","144,90","2,37M","1,03%"
"23.09.2024","145,80","146,50","147,20","143,70","1,22M","0,21%"
"20.09.2024","145,50","144,80","146,50","143,60","1,96M","0,41%"
"19.09.2024","144,90","143,30","145,20","142,10","2,14M","2,62%"
"18.09.2024","141,20","141,20","143,00","139,40","2,06M","0,00%"
"17.09.2024","141,20","138,10","142,00","137,90","1,82M","2,32%"
"16.09.2024","138,00","141,80","142,90","138,00","1,33M","-2,68%"
"13.09.2024","141,80","138,30","141,80","137,10","1,24M","2,53%"
"12.09.2024","138,30","135,00","138,30","133,00","2,02M","3,29%"
"11.09.2024","133,90","137,80","138,30","133,80","1,99M","-3,04%"
"10.09.2024","138,10","138,60","139,50","136,20","1,20M","0,07%"
"09.09.2024","138,00","142,30","143,50","138,00","1,85M","-3,02%"
"06.09.2024","142,30","144,20","144,60","141,50","1,73M","-2,00%"
"05.09.2024","145,20","143,80","146,00","143,40","1,79M","1,47%"
"04.09.2024","143,10","147,00","148,60","142,00","2,71M","-3,18%"
