"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.12.2023","44,98","44,96","45,32","44,26","36,85M","0,45%"
"28.12.2023","44,78","43,16","45,66","43,16","40,09M","4,09%"
"27.12.2023","43,02","43,64","44,20","42,90","42,36M","-1,15%"
"26.12.2023","43,52","44,60","44,94","43,12","47,96M","-1,49%"
"25.12.2023","44,18","45,60","46,10","43,86","39,46M","-3,11%"
"22.12.2023","45,60","47,62","47,78","45,60","29,28M","-4,24%"
"21.12.2023","47,62","46,02","47,80","45,82","45,27M","3,48%"
"20.12.2023","46,02","48,40","48,40","46,02","36,92M","-4,92%"
"19.12.2023","48,40","47,52","49,06","46,74","49,62M","1,85%"
"18.12.2023","47,52","49,60","50,40","47,50","48,43M","-4,19%"
"15.12.2023","49,60","46,64","49,96","46,64","82,71M","6,44%"
"14.12.2023","46,60","45,74","47,32","45,64","39,38M","2,73%"
"13.12.2023","45,36","45,78","46,40","45,36","39,40M","-1,00%"
"12.12.2023","45,82","46,18","46,38","45,18","37,64M","-0,78%"
"11.12.2023","46,18","46,20","46,90","45,68","44,54M","0,00%"
"08.12.2023","46,18","46,92","47,74","45,88","43,11M","-1,37%"
"07.12.2023","46,82","47,30","47,52","45,94","45,76M","-1,01%"
"06.12.2023","47,30","49,70","49,98","47,30","60,27M","-4,60%"
"05.12.2023","49,58","49,20","50,40","48,98","48,78M","0,98%"
"04.12.2023","49,10","48,62","49,66","48,12","59,97M","1,24%"
"01.12.2023","48,50","49,48","49,62","47,98","31,51M","-0,70%"
"30.11.2023","48,84","47,66","49,56","47,64","65,55M","1,75%"
"29.11.2023","48,00","48,60","49,16","47,90","44,13M","-1,11%"
"28.11.2023","48,54","49,38","49,86","48,12","45,80M","-1,74%"
"27.11.2023","49,40","48,00","49,64","48,00","66,61M","3,35%"
"24.11.2023","47,80","46,60","48,32","45,50","79,16M","2,75%"
"23.11.2023","46,52","46,02","47,84","46,00","69,03M","0,69%"
"22.11.2023","46,20","46,06","47,52","45,80","84,59M","-0,37%"
"21.11.2023","46,37","44,32","46,37","44,00","79,28M","4,17%"
"20.11.2023","44,52","42,42","45,01","42,40","87,68M","5,64%"
"17.11.2023","42,14","41,68","42,48","41,56","33,80M","1,15%"
"16.11.2023","41,66","40,92","41,92","40,92","37,28M","1,80%"
"15.11.2023","40,92","41,40","41,66","40,64","30,79M","-0,77%"
"14.11.2023","41,24","41,10","41,66","40,66","36,39M","0,49%"
"13.11.2023","41,04","42,08","42,22","40,92","27,92M","-2,47%"
"10.11.2023","42,08","42,50","43,12","41,86","31,55M","-1,22%"
"09.11.2023","42,60","42,48","42,74","41,66","37,10M","-0,51%"
"08.11.2023","42,82","43,22","43,54","42,74","46,17M","-0,65%"
"07.11.2023","43,10","44,26","44,56","42,80","41,84M","-2,62%"
