"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.04.2025","100,50","101,20","101,80","98,30","8,26M","-0,79%"
"29.04.2025","101,30","101,00","102,80","100,50","7,66M","0,30%"
"28.04.2025","101,00","101,90","103,70","99,90","14,10M","-0,39%"
"25.04.2025","101,40","102,00","103,60","100,40","10,52M","-0,20%"
"24.04.2025","101,60","96,15","102,20","95,55","20,61M","5,34%"
"22.04.2025","96,45","97,20","97,60","95,40","8,47M","-0,36%"
"21.04.2025","96,80","99,50","100,00","96,50","11,04M","-2,71%"
"18.04.2025","99,50","100,40","100,80","98,45","12,43M","-0,80%"
"17.04.2025","100,30","98,90","102,60","98,90","11,50M","1,42%"
"16.04.2025","98,90","102,30","103,60","98,55","11,07M","-3,89%"
"15.04.2025","102,90","104,20","105,10","101,80","8,37M","-1,34%"
"14.04.2025","104,30","106,00","106,70","103,90","7,93M","-1,14%"
"11.04.2025","105,50","105,90","106,10","103,70","10,20M","0,48%"
"10.04.2025","105,00","107,80","108,70","105,00","14,01M","2,34%"
"09.04.2025","102,60","105,00","106,10","102,40","12,05M","-3,21%"
"08.04.2025","106,00","108,50","108,80","105,80","7,83M","-0,56%"
"07.04.2025","106,60","102,00","108,90","101,40","13,95M","0,95%"
"04.04.2025","105,60","107,80","108,90","105,60","7,91M","-2,40%"
"03.04.2025","108,20","110,00","112,30","107,50","8,57M","-1,81%"
"02.04.2025","110,20","112,60","115,00","110,10","12,58M","-2,99%"
"28.03.2025","113,60","109,00","114,50","106,40","16,30M","4,03%"
"27.03.2025","109,20","112,00","114,60","109,20","14,29M","-1,62%"
"26.03.2025","111,00","104,70","112,80","103,30","19,09M","5,01%"
"25.03.2025","105,70","99,20","106,10","98,50","17,85M","8,58%"
"24.03.2025","97,35","94,70","100,00","93,50","19,88M","2,80%"
"21.03.2025","94,70","104,00","104,70","94,70","16,38M","-9,98%"
"20.03.2025","105,20","106,10","110,80","104,00","19,49M","-0,94%"
"19.03.2025","106,20","110,30","113,00","106,20","15,60M","-10,00%"
"18.03.2025","118,00","121,80","122,10","117,40","14,30M","-3,20%"
"17.03.2025","121,90","116,00","123,70","115,30","23,73M","2,96%"
"14.03.2025","118,40","116,70","119,20","116,20","17,83M","2,25%"
"13.03.2025","115,80","115,90","117,20","113,30","24,99M","0,00%"
"12.03.2025","115,80","113,40","116,20","111,70","14,66M","3,21%"
"11.03.2025","112,20","114,00","115,10","112,20","13,12M","-1,58%"
"10.03.2025","114,00","115,50","116,80","113,60","12,03M","-0,87%"
"07.03.2025","115,00","111,50","116,20","109,90","17,91M","4,07%"
"06.03.2025","110,50","106,00","110,70","106,00","22,90M","4,74%"
"05.03.2025","105,50","106,40","107,00","105,00","12,59M","0,00%"
"04.03.2025","105,50","107,50","107,80","104,40","21,05M","-5,64%"
"03.03.2025","111,80","109,40","114,80","109,40","12,38M","2,29%"
"28.02.2025","109,30","109,90","111,30","107,60","14,08M","-0,55%"
"27.02.2025","109,90","103,90","110,90","103,60","16,80M","5,67%"
"26.02.2025","104,00","106,00","106,80","103,70","9,58M","-2,07%"
"25.02.2025","106,20","107,60","108,60","105,30","10,22M","-2,12%"
"24.02.2025","108,50","108,30","109,80","107,40","7,83M","0,74%"
"21.02.2025","107,70","108,10","108,80","105,20","15,71M","-0,28%"
"20.02.2025","108,00","114,20","115,40","108,00","19,50M","-5,18%"
"19.02.2025","113,90","113,20","117,40","112,00","36,57M","0,35%"
"18.02.2025","113,50","105,60","114,70","104,00","23,00M","7,48%"
"17.02.2025","105,60","108,20","108,80","105,60","9,57M","-2,13%"
"14.02.2025","107,90","108,00","109,20","105,40","14,72M","0,75%"
"13.02.2025","107,10","109,50","110,80","105,30","23,80M","-1,83%"
"12.02.2025","109,10","115,80","116,40","109,10","14,75M","-5,54%"
"11.02.2025","115,50","118,10","121,20","115,30","13,05M","-2,70%"
"10.02.2025","118,70","120,50","121,50","116,80","11,40M","-1,74%"
"07.02.2025","120,80","119,80","122,20","119,30","10,18M","0,67%"
"06.02.2025","120,00","119,30","121,90","118,30","10,26M","0,50%"
"05.02.2025","119,40","119,40","120,30","116,40","9,47M","0,00%"
"04.02.2025","119,40","120,40","121,70","117,70","10,78M","-0,83%"
"03.02.2025","120,40","116,50","122,20","115,20","15,20M","2,38%"
"31.01.2025","117,60","122,30","123,00","116,90","20,22M","-3,84%"
"30.01.2025","122,30","125,00","127,20","122,10","8,61M","-2,16%"
"29.01.2025","125,00","126,80","127,00","125,00","8,63M","-1,42%"
"28.01.2025","126,80","128,00","129,20","126,50","9,61M","-0,94%"
"27.01.2025","128,00","127,80","130,60","126,90","14,44M","0,00%"
"24.01.2025","128,00","123,80","129,00","123,80","13,90M","3,31%"
"23.01.2025","123,90","123,40","124,50","122,80","10,46M","0,41%"
"22.01.2025","123,40","122,00","123,80","120,70","8,38M","1,15%"
"21.01.2025","122,00","124,40","125,00","121,60","12,19M","-2,01%"
"20.01.2025","124,50","123,00","125,00","122,60","10,49M","1,22%"
"17.01.2025","123,00","122,60","124,30","121,70","8,78M","0,41%"
"16.01.2025","122,50","123,70","125,00","122,40","13,71M","-0,24%"
"15.01.2025","122,80","120,60","123,30","119,60","14,24M","1,91%"
"14.01.2025","120,50","121,30","122,80","120,00","17,43M","-0,66%"
"13.01.2025","121,30","121,00","123,10","120,30","12,55M","0,25%"
"10.01.2025","121,00","119,50","121,80","118,70","11,44M","1,34%"
"09.01.2025","119,40","118,90","121,30","117,80","13,70M","0,67%"
"08.01.2025","118,60","119,00","119,40","116,40","15,90M","-0,75%"
"07.01.2025","119,50","122,50","123,00","119,30","12,20M","-2,77%"
"06.01.2025","122,90","120,60","123,70","119,40","12,42M","1,91%"
"03.01.2025","120,60","119,40","121,60","118,00","14,14M","1,01%"
"02.01.2025","119,40","113,90","119,40","113,00","14,98M","4,83%"
"31.12.2024","113,90","115,60","116,20","113,40","10,00M","-1,47%"
"30.12.2024","115,60","115,30","116,30","114,30","10,33M","0,26%"
"27.12.2024","115,30","112,50","115,90","112,00","13,38M","2,49%"
"26.12.2024","112,50","111,60","112,70","109,00","13,61M","0,99%"
"25.12.2024","111,40","107,40","111,80","106,90","12,20M","4,60%"
"24.12.2024","106,50","106,50","109,80","104,50","14,32M","-0,56%"
"23.12.2024","107,10","107,00","110,10","105,70","14,49M","0,09%"
