"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","56,70","57,50","57,70","56,40","994,61K","-1,48%"
"03.04.2025","57,55","58,55","59,20","57,45","2,48M","-1,71%"
"02.04.2025","58,55","56,85","58,65","55,80","2,08M","3,54%"
"28.03.2025","56,55","55,10","56,90","54,30","943,92K","3,10%"
"27.03.2025","54,85","55,00","56,05","54,80","1,26M","0,37%"
"26.03.2025","54,65","55,75","56,65","54,65","2,18M","-2,15%"
"25.03.2025","55,85","53,45","56,30","53,45","1,59M","4,98%"
"24.03.2025","53,20","52,45","54,25","52,10","3,09M","1,04%"
"21.03.2025","52,65","55,05","55,05","50,75","3,10M","-4,45%"
"20.03.2025","55,10","56,45","58,75","54,60","4,05M","-2,39%"
"19.03.2025","56,45","60,00","60,25","56,25","2,77M","-9,68%"
"18.03.2025","62,50","63,45","63,80","61,70","3,19M","-1,50%"
"17.03.2025","63,45","66,75","67,00","63,00","4,13M","-4,66%"
"14.03.2025","66,55","66,00","68,30","66,00","3,03M","1,29%"
"13.03.2025","65,70","66,40","67,15","65,15","1,95M","-0,30%"
"12.03.2025","65,90","65,10","67,10","64,85","3,86M","1,31%"
"11.03.2025","65,05","65,80","66,55","64,70","1,47M","-1,36%"
"10.03.2025","65,95","62,80","66,35","62,50","3,25M","5,02%"
"07.03.2025","62,80","62,75","63,40","62,20","1,36M","0,08%"
"06.03.2025","62,75","61,10","63,50","61,10","2,26M","2,78%"
"05.03.2025","61,05","61,00","61,70","60,80","1,82M","-0,08%"
"04.03.2025","61,10","63,30","63,65","60,20","2,80M","-3,63%"
"03.03.2025","63,40","63,95","64,80","63,05","1,93M","-0,78%"
"28.02.2025","63,90","64,00","64,75","63,20","2,39M","-1,24%"
"27.02.2025","64,70","63,75","64,70","63,35","1,56M","1,57%"
"26.02.2025","63,70","63,90","64,25","62,75","1,57M","-0,31%"
"25.02.2025","63,90","64,45","64,80","63,40","1,59M","0,00%"
"24.02.2025","63,90","62,55","64,45","62,35","2,65M","2,16%"
"21.02.2025","62,55","62,50","63,00","61,75","1,15M","0,08%"
"20.02.2025","62,50","61,30","62,90","60,15","2,52M","1,87%"
"19.02.2025","61,35","63,40","63,70","61,30","3,08M","-3,31%"
"18.02.2025","63,45","62,60","63,60","62,30","1,36M","1,36%"
"17.02.2025","62,60","63,20","63,25","61,90","972,34K","-0,08%"
"14.02.2025","62,65","61,85","63,05","61,80","1,33M","1,29%"
"13.02.2025","61,85","62,15","62,65","61,30","1,56M","0,32%"
"12.02.2025","61,65","63,05","63,55","61,65","2,10M","-2,53%"
"11.02.2025","63,25","63,25","63,35","60,60","4,11M","0,00%"
"10.02.2025","63,25","63,05","64,80","62,95","1,58M","0,40%"
"07.02.2025","63,00","62,75","63,55","62,00","1,52M","0,40%"
"06.02.2025","62,75","62,75","63,50","62,45","1,40M","0,00%"
"05.02.2025","62,75","64,30","64,30","61,50","1,98M","-2,56%"
"04.02.2025","64,40","62,30","65,00","62,30","2,86M","3,70%"
"03.02.2025","62,10","62,85","63,60","61,65","2,36M","-1,27%"
"31.01.2025","62,90","61,80","63,10","60,95","1,27M","1,78%"
"30.01.2025","61,80","62,20","62,55","61,55","1,10M","-0,64%"
"29.01.2025","62,20","63,10","63,20","61,40","2,78M","-1,27%"
"28.01.2025","63,00","61,55","63,70","61,35","3,95M","2,36%"
"27.01.2025","61,55","60,05","62,05","59,90","2,80M","1,74%"
"24.01.2025","60,50","59,70","60,80","59,20","1,89M","1,34%"
"23.01.2025","59,70","60,00","60,50","58,70","1,64M","-0,50%"
"22.01.2025","60,00","59,90","60,25","59,15","2,09M","0,17%"
"21.01.2025","59,90","59,95","61,00","59,50","2,12M","-0,99%"
"20.01.2025","60,50","57,80","61,35","57,70","4,08M","4,67%"
"17.01.2025","57,80","56,70","58,30","56,05","2,07M","2,12%"
"16.01.2025","56,60","57,20","57,80","56,00","2,28M","-0,26%"
"15.01.2025","56,75","55,95","57,25","55,95","2,27M","1,25%"
"14.01.2025","56,05","55,45","57,45","55,00","2,56M","1,17%"
"13.01.2025","55,40","55,70","55,90","55,15","1,65M","-0,54%"
"10.01.2025","55,70","56,55","56,90","55,20","1,76M","-1,50%"
"09.01.2025","56,55","58,10","58,20","56,50","2,69M","-2,58%"
"08.01.2025","58,05","56,20","58,20","56,15","3,52M","3,29%"
"07.01.2025","56,20","57,10","58,05","56,15","2,51M","-1,58%"
"06.01.2025","57,10","57,50","57,85","56,85","1,84M","-0,70%"
"03.01.2025","57,50","56,85","57,85","56,35","2,61M","1,05%"
"02.01.2025","56,90","54,05","57,60","54,05","4,65M","5,37%"
"31.12.2024","54,00","54,50","54,55","54,00","1,66M","-1,73%"
"30.12.2024","54,95","54,55","54,95","53,70","2,48M","0,83%"
"27.12.2024","54,50","55,55","55,95","54,30","3,51M","-1,80%"
"26.12.2024","55,50","57,15","57,45","55,45","5,28M","-2,89%"
"25.12.2024","57,15","56,00","57,20","55,55","2,65M","2,79%"
"24.12.2024","55,60","54,75","56,00","54,20","1,84M","1,37%"
"23.12.2024","54,85","54,40","55,00","54,15","2,16M","0,92%"
"20.12.2024","54,35","55,00","55,35","54,05","1,67M","-1,18%"
"19.12.2024","55,00","54,70","55,45","54,45","3,26M","0,55%"
"18.12.2024","54,70","54,80","55,20","54,25","3,06M","0,00%"
"17.12.2024","54,70","55,15","55,75","54,50","3,53M","-0,82%"
"16.12.2024","55,15","55,00","56,20","54,55","2,08M","0,36%"
"13.12.2024","54,95","53,95","55,30","53,70","2,22M","1,76%"
"12.12.2024","54,00","53,00","54,70","52,80","2,78M","1,89%"
"11.12.2024","53,00","53,50","53,65","52,50","2,63M","-0,93%"
"10.12.2024","53,50","55,05","55,40","52,60","7,10M","-2,90%"
"09.12.2024","55,10","54,80","55,25","54,10","4,44M","0,55%"
"06.12.2024","54,80","55,85","56,20","54,20","3,59M","-1,79%"
"05.12.2024","55,80","56,80","57,40","54,80","11,51M","-1,76%"
"04.12.2024","56,80","58,55","59,10","56,65","3,82M","-2,91%"
"03.12.2024","58,50","57,40","58,90","57,00","3,75M","1,92%"
"02.12.2024","57,40","57,60","57,95","56,30","3,19M","-1,03%"
"29.11.2024","58,00","56,00","58,50","55,75","5,23M","3,39%"
"28.11.2024","56,10","54,85","57,35","54,60","5,33M","2,94%"
"27.11.2024","54,50","55,50","56,15","54,50","2,36M","-1,80%"
"26.11.2024","55,50","55,35","56,40","54,10","5,23M","0,18%"
"25.11.2024","55,40","57,20","57,35","55,30","4,16M","-3,15%"
"22.11.2024","57,20","57,05","58,70","56,30","3,47M","0,35%"
"21.11.2024","57,00","56,00","57,45","54,50","4,67M","1,79%"
"20.11.2024","56,00","56,20","57,75","55,65","3,61M","-0,36%"
"19.11.2024","56,20","55,60","57,30","55,20","5,71M","0,54%"
"18.11.2024","55,90","53,90","56,65","52,55","6,21M","3,61%"
"15.11.2024","53,95","51,85","53,95","51,00","6,07M","4,96%"
"14.11.2024","51,40","49,10","52,10","48,98","5,05M","5,03%"
"13.11.2024","48,94","48,52","49,22","47,92","3,44M","0,74%"
"12.11.2024","48,58","48,84","49,68","48,00","3,33M","-0,61%"
"11.11.2024","48,88","47,42","49,48","47,42","3,49M","3,12%"
"08.11.2024","47,40","46,90","48,12","46,18","3,61M","2,11%"
"07.11.2024","46,42","46,20","46,78","45,54","2,62M","0,52%"
"06.11.2024","46,18","45,76","46,68","45,68","2,50M","0,92%"
"05.11.2024","45,76","46,42","46,68","45,72","1,80M","-1,17%"
"04.11.2024","46,30","46,84","47,78","46,00","2,81M","-1,32%"
"01.11.2024","46,92","47,98","48,20","46,86","3,28M","-1,64%"
"31.10.2024","47,70","49,78","49,90","47,66","5,07M","-1,32%"
"30.10.2024","48,34","46,92","48,86","46,82","3,08M","3,03%"
"28.10.2024","46,92","46,30","47,10","46,24","709,31K","1,34%"
"25.10.2024","46,30","46,14","46,36","45,70","831,28K","0,56%"
"24.10.2024","46,04","45,92","46,76","45,50","1,75M","1,45%"
"23.10.2024","45,38","46,80","47,00","45,32","2,26M","-3,45%"
"22.10.2024","47,00","43,88","47,12","43,88","3,41M","7,50%"
