"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","16,540","16,600","16,640","16,360","2,34M","-0,24%"
"03.04.2025","16,580","16,680","17,150","16,480","8,94M","-0,72%"
"02.04.2025","16,700","16,280","17,000","16,180","8,67M","1,71%"
"28.03.2025","16,420","16,320","16,520","15,930","5,01M","0,24%"
"27.03.2025","16,380","16,300","16,890","16,190","6,87M","0,99%"
"26.03.2025","16,220","16,050","16,430","15,950","6,47M","-0,80%"
"25.03.2025","16,350","15,500","16,350","15,500","9,77M","6,31%"
"24.03.2025","15,380","14,750","15,430","14,070","10,12M","4,70%"
"21.03.2025","14,690","15,840","15,850","14,300","9,23M","-7,49%"
"20.03.2025","15,880","16,280","16,750","15,790","14,79M","-2,46%"
"19.03.2025","16,280","17,320","17,500","16,280","12,21M","-9,96%"
"18.03.2025","18,080","18,250","18,680","17,700","13,81M","0,06%"
"17.03.2025","18,070","17,450","18,240","17,240","17,03M","3,91%"
"14.03.2025","17,390","17,140","17,450","16,990","12,21M","2,23%"
"13.03.2025","17,010","16,700","17,230","16,700","12,60M","1,86%"
"12.03.2025","16,700","16,860","17,130","16,500","14,27M","-4,02%"
"11.03.2025","17,400","18,000","18,210","17,370","11,89M","-3,81%"
"10.03.2025","18,090","17,860","18,350","17,750","13,14M","1,92%"
"07.03.2025","17,750","17,450","18,130","17,340","11,45M","1,72%"
"06.03.2025","17,450","17,050","17,730","17,050","14,03M","2,53%"
"05.03.2025","17,020","16,980","17,160","16,860","7,99M","1,19%"
"04.03.2025","16,820","17,030","17,330","16,590","13,98M","-1,64%"
"03.03.2025","17,100","16,800","17,430","16,650","10,54M","1,60%"
"28.02.2025","16,830","16,410","17,080","16,410","12,82M","2,00%"
"27.02.2025","16,500","16,550","16,670","16,410","7,23M","0,00%"
"26.02.2025","16,500","16,660","16,950","16,330","12,47M","-0,90%"
"25.02.2025","16,650","17,480","17,550","16,620","8,27M","-4,20%"
"24.02.2025","17,380","17,600","17,840","17,180","10,70M","-0,46%"
"21.02.2025","17,460","16,980","17,670","16,880","23,26M","3,19%"
"20.02.2025","16,920","17,500","18,160","16,730","32,13M","-3,86%"
"19.02.2025","17,600","16,620","18,040","16,270","32,44M","5,96%"
"18.02.2025","16,610","16,570","16,840","16,430","7,42M","0,06%"
"17.02.2025","16,600","16,450","16,900","16,440","6,89M","0,61%"
"14.02.2025","16,500","16,580","16,730","16,170","7,40M","0,00%"
"13.02.2025","16,500","16,720","16,900","16,450","8,20M","-0,78%"
"12.02.2025","16,630","16,810","17,190","16,630","11,14M","-1,13%"
"11.02.2025","16,820","15,910","17,160","15,810","17,85M","5,32%"
"10.02.2025","15,970","16,350","16,490","15,910","6,36M","-2,32%"
"07.02.2025","16,350","16,250","16,450","16,060","6,42M","0,43%"
"06.02.2025","16,280","16,180","16,730","16,080","9,48M","1,56%"
"05.02.2025","16,030","16,750","16,980","15,740","9,60M","-4,01%"
"04.02.2025","16,700","16,640","16,990","16,490","7,20M","1,33%"
"03.02.2025","16,480","17,090","17,360","16,480","11,78M","-3,57%"
"31.01.2025","17,090","17,120","17,620","16,790","24,92M","0,29%"
"30.01.2025","17,040","15,620","17,140","15,620","34,27M","9,30%"
"29.01.2025","15,590","15,190","15,760","15,100","13,41M","2,90%"
"28.01.2025","15,150","15,390","15,440","15,120","6,78M","-1,11%"
"27.01.2025","15,320","15,610","15,820","15,310","8,19M","-1,86%"
