"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","442,75","443,00","447,00","439,00","2,46M","0,06%"
"03.04.2025","442,50","447,00","453,75","442,00","4,91M","-0,78%"
"02.04.2025","446,00","453,75","458,50","444,50","6,18M","-2,67%"
"28.03.2025","458,25","461,75","463,75","453,50","7,77M","-0,76%"
"27.03.2025","461,75","469,75","478,75","458,75","9,11M","-0,11%"
"26.03.2025","462,25","455,25","475,75","453,00","16,71M","1,54%"
"25.03.2025","455,25","424,00","455,25","419,50","22,29M","9,96%"
"24.03.2025","414,00","415,00","428,25","399,00","24,58M","1,10%"
"21.03.2025","409,50","455,25","458,50","409,50","18,42M","-9,95%"
"20.03.2025","454,75","457,50","479,00","445,50","31,39M","-0,16%"
"19.03.2025","455,50","470,00","488,75","455,50","16,40M","-9,98%"
"18.03.2025","506,00","516,00","517,00","506,00","6,92M","-1,84%"
"17.03.2025","515,50","526,50","527,50","515,50","6,85M","-1,72%"
"14.03.2025","524,50","533,00","536,00","524,50","9,63M","-0,66%"
"13.03.2025","528,00","521,00","534,50","521,00","11,95M","1,73%"
"12.03.2025","519,00","519,50","524,50","513,00","10,26M","0,48%"
"11.03.2025","516,50","519,00","524,50","509,50","9,25M","-0,10%"
"10.03.2025","517,00","528,00","542,00","513,50","12,31M","-6,76%"
"07.03.2025","554,50","552,00","563,50","550,00","5,67M","0,18%"
"06.03.2025","553,50","548,50","558,00","540,00","6,11M","2,03%"
"05.03.2025","542,50","530,00","549,50","529,00","7,34M","3,43%"
"04.03.2025","524,50","527,00","531,50","520,50","5,17M","-0,19%"
"03.03.2025","525,50","512,00","528,00","511,50","7,26M","3,85%"
"28.02.2025","506,00","517,00","519,50","505,50","7,04M","-2,13%"
"27.02.2025","517,00","510,00","522,00","507,00","5,89M","1,37%"
"26.02.2025","510,00","505,00","516,00","504,00","5,35M","1,09%"
"25.02.2025","504,50","516,50","519,00","504,00","4,72M","-1,94%"
"24.02.2025","514,50","519,00","525,00","512,50","4,48M","0,49%"
"21.02.2025","512,00","535,00","541,00","508,50","7,16M","-4,30%"
"20.02.2025","535,00","540,00","543,50","518,50","16,29M","-3,60%"
"19.02.2025","555,00","564,50","567,50","552,00","5,18M","-1,60%"
"18.02.2025","564,00","554,00","568,50","550,50","5,25M","1,81%"
"17.02.2025","554,00","560,00","563,00","554,00","3,66M","-0,89%"
"14.02.2025","559,00","575,00","576,00","559,00","6,21M","-3,54%"
"13.02.2025","579,50","561,50","581,00","557,50","8,31M","3,95%"
"12.02.2025","557,50","563,00","570,00","553,50","6,87M","-0,98%"
"11.02.2025","563,00","550,50","564,00","542,00","5,70M","2,27%"
"10.02.2025","550,50","562,00","563,00","548,50","5,96M","-1,96%"
"07.02.2025","561,50","548,50","562,00","544,00","6,69M","2,37%"
"06.02.2025","548,50","544,00","552,00","541,50","4,34M","1,67%"
"05.02.2025","539,50","533,00","548,00","532,00","8,67M","1,51%"
"04.02.2025","531,50","542,00","543,00","530,50","3,23M","-1,12%"
"03.02.2025","537,50","547,00","555,50","531,50","5,17M","-2,27%"
"31.01.2025","550,00","554,00","558,00","547,00","5,92M","-0,45%"
"30.01.2025","552,50","547,00","557,00","546,00","6,69M","1,10%"
"29.01.2025","546,50","522,50","555,00","522,50","16,13M","4,59%"
"28.01.2025","522,50","506,50","523,50","502,50","6,77M","3,36%"
"27.01.2025","505,50","511,50","511,50","502,50","4,34M","-1,65%"
"24.01.2025","514,00","516,00","518,50","511,00","4,21M","-0,19%"
"23.01.2025","515,00","524,00","527,00","513,50","5,97M","-1,25%"
"22.01.2025","521,50","521,50","524,50","514,00","4,57M","0,00%"
"21.01.2025","521,50","519,00","529,00","516,50","4,29M","0,19%"
"20.01.2025","520,50","515,00","523,00","511,00","5,43M","2,26%"
"17.01.2025","509,00","506,00","512,50","500,50","4,97M","0,99%"
"16.01.2025","504,00","517,00","521,00","501,00","5,96M","-1,66%"
"15.01.2025","512,50","516,00","518,50","503,50","5,24M","-0,49%"
"14.01.2025","515,00","528,00","531,50","514,50","4,31M","-1,72%"
"13.01.2025","524,00","522,50","524,00","512,00","4,03M","0,19%"
"10.01.2025","523,00","526,00","532,00","522,00","4,64M","-0,10%"
"09.01.2025","523,50","536,50","541,00","523,50","4,51M","-1,97%"
"08.01.2025","534,00","527,50","536,00","523,00","5,53M","1,33%"
"07.01.2025","527,00","532,00","534,50","524,50","3,73M","-1,22%"
"06.01.2025","533,50","532,00","536,50","529,00","3,15M","0,47%"
"03.01.2025","531,00","532,00","537,50","525,00","3,92M","0,00%"
"02.01.2025","531,00","530,00","543,00","526,00","4,99M","0,47%"
"31.12.2024","528,50","524,00","541,00","518,00","5,24M","0,86%"
"30.12.2024","524,00","524,00","536,00","516,50","3,81M","0,38%"
"27.12.2024","522,00","518,00","525,50","516,50","2,88M","0,77%"
"26.12.2024","518,00","513,50","525,00","513,00","2,94M","1,37%"
"25.12.2024","511,00","503,00","516,00","503,00","3,22M","4,55%"
"24.12.2024","488,75","492,00","494,75","485,00","2,13M","-0,46%"
"23.12.2024","491,00","495,50","498,75","486,25","2,76M","-0,76%"
"20.12.2024","494,75","502,00","505,00","494,75","2,74M","-1,44%"
"19.12.2024","502,00","505,00","508,50","501,00","2,24M","-0,99%"
"18.12.2024","507,00","515,00","516,50","506,50","3,07M","-1,46%"
"17.12.2024","514,50","510,53","518,47","503,09","4,63M","1,07%"
"16.12.2024","509,04","524,92","525,41","506,56","3,76M","-3,02%"
"13.12.2024","524,92","531,37","531,37","519,96","3,51M","-1,31%"
"12.12.2024","531,86","536,83","541,79","530,38","3,27M","-0,37%"
"11.12.2024","533,85","528,89","547,25","527,90","5,03M","1,49%"
"10.12.2024","526,00","525,50","530,50","522,00","3,86M","0,00%"
