"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.11.2024","461,75","472,00","478,25","461,75","1,87M","-1,23%"
"26.11.2024","467,50","470,00","470,00","462,00","715,01K","-0,32%"
"25.11.2024","469,00","463,00","473,75","459,50","1,12M","2,40%"
"22.11.2024","458,00","455,00","458,00","447,00","825,65K","1,38%"
"21.11.2024","451,75","438,25","456,25","436,75","733,63K","3,20%"
"20.11.2024","437,75","454,00","455,50","435,50","562,34K","-3,15%"
"19.11.2024","452,00","465,00","468,00","448,00","759,09K","-2,27%"
"18.11.2024","462,50","465,25","472,50","462,00","710,76K","0,11%"
"15.11.2024","462,00","466,25","468,75","462,00","619,51K","-0,65%"
"14.11.2024","465,00","470,25","475,00","464,00","837,60K","-0,11%"
"13.11.2024","465,50","466,75","482,00","459,00","1,68M","-0,27%"
"12.11.2024","466,75","480,00","485,00","466,00","1,73M","-8,30%"
"11.11.2024","509,00","492,75","531,00","485,50","3,06M","3,77%"
"08.11.2024","490,50","485,25","494,00","476,75","1,41M","2,08%"
"07.11.2024","480,50","485,00","485,00","471,00","981,41K","0,26%"
"06.11.2024","479,25","470,00","491,25","467,25","2,08M","3,06%"
"05.11.2024","465,00","466,50","469,25","454,50","676,45K","1,03%"
"04.11.2024","460,25","471,00","472,50","456,00","593,45K","-2,49%"
"01.11.2024","472,00","485,00","488,00","472,00","855,05K","-2,83%"
"31.10.2024","485,75","490,00","500,00","483,00","1,98M","0,10%"
"30.10.2024","485,25","469,50","496,00","464,00","1,66M","3,52%"
"28.10.2024","468,75","465,75","479,00","465,50","473,93K","0,64%"
"25.10.2024","465,75","473,00","475,00","457,50","797,00K","-1,53%"
"24.10.2024","473,00","468,00","483,25","467,00","1,23M","2,38%"
"23.10.2024","462,00","481,00","490,75","460,25","1,31M","-3,55%"
"22.10.2024","479,00","486,50","503,00","475,25","2,35M","-1,54%"
"21.10.2024","486,50","462,75","499,00","462,75","2,88M","6,16%"
"18.10.2024","458,25","450,00","481,75","447,75","3,10M","1,44%"
"17.10.2024","451,75","422,50","462,50","419,25","2,76M","7,43%"
"16.10.2024","420,50","414,00","426,50","409,25","941,34K","1,33%"
"15.10.2024","415,00","402,50","416,25","402,50","987,93K","3,49%"
"14.10.2024","401,00","421,00","423,00","401,00","707,62K","-4,07%"
"11.10.2024","418,00","432,00","433,50","418,00","822,26K","-3,24%"
"10.10.2024","432,00","437,50","454,00","431,50","1,62M","-0,29%"
"09.10.2024","433,25","431,00","434,00","420,00","575,21K","0,52%"
"08.10.2024","431,00","435,75","438,75","426,50","798,59K","-1,37%"
"07.10.2024","437,00","437,50","455,50","436,75","1,45M","1,75%"
"04.10.2024","429,50","424,50","430,50","415,25","924,92K","1,78%"
"03.10.2024","422,00","428,50","436,50","420,25","1,11M","-1,46%"
"02.10.2024","428,25","442,00","443,50","426,50","990,79K","-3,66%"
"01.10.2024","444,50","479,00","479,00","440,00","1,04M","-6,17%"
"30.09.2024","473,75","469,00","481,50","458,25","1,36M","0,80%"
"27.09.2024","470,00","479,50","480,25","468,75","880,22K","-1,21%"
"26.09.2024","475,75","470,00","504,50","469,00","2,58M","1,44%"
"25.09.2024","469,00","478,00","485,00","468,00","1,23M","-2,04%"
"24.09.2024","478,75","485,00","506,50","473,75","2,51M","-0,05%"
"23.09.2024","479,00","495,25","499,50","476,75","1,42M","-4,77%"
"20.09.2024","503,00","510,00","514,50","497,00","1,45M","-1,57%"
"19.09.2024","511,00","532,00","534,00","509,50","1,82M","-2,67%"
"18.09.2024","525,00","557,00","557,00","522,50","1,34M","-4,89%"
"17.09.2024","552,00","557,00","577,00","549,50","1,41M","0,64%"
"16.09.2024","548,50","576,00","583,00","547,50","1,86M","-4,61%"
"13.09.2024","575,00","575,00","601,50","554,00","3,71M","0,52%"
"12.09.2024","572,00","545,00","576,00","535,00","4,66M","9,16%"
"11.09.2024","524,00","578,00","587,50","515,00","5,81M","-4,64%"
"10.09.2024","549,50","528,00","549,50","521,50","1,84M","9,95%"
"09.09.2024","499,75","460,75","499,75","460,00","936,25K","9,96%"
"06.09.2024","454,50","491,00","494,00","453,00","1,81M","-7,24%"
"05.09.2024","490,00","486,50","513,00","484,75","2,58M","1,66%"
"04.09.2024","482,00","489,00","503,50","472,50","4,99M","5,30%"
"03.09.2024","457,75","457,75","457,75","440,00","816,72K","9,97%"
"02.09.2024","416,25","380,25","416,25","380,25","1,17M","9,97%"
"29.08.2024","378,50","350,25","383,75","349,25","1,85M","8,45%"
"28.08.2024","349,00","352,00","354,75","348,25","522,02K","-0,71%"
"27.08.2024","351,50","355,00","356,50","350,00","523,71K","-0,35%"
"26.08.2024","352,75","369,50","373,00","351,50","570,45K","-4,21%"
"23.08.2024","368,25","382,50","384,25","366,00","516,67K","-3,03%"
"22.08.2024","379,75","372,00","392,50","371,50","1,64M","2,50%"
"21.08.2024","370,50","372,00","378,75","370,25","453,51K","-0,40%"
"20.08.2024","372,00","377,25","378,75","369,25","420,12K","-1,46%"
"19.08.2024","377,50","379,00","379,00","365,75","587,42K","1,82%"
"16.08.2024","370,75","375,00","379,75","369,25","646,08K","-0,67%"
"15.08.2024","373,25","363,50","374,50","358,50","760,39K","3,04%"
"14.08.2024","362,25","370,25","371,25","362,25","476,74K","-1,76%"
"13.08.2024","368,75","375,75","379,50","365,00","806,85K","-1,86%"
"12.08.2024","375,75","386,25","394,50","372,00","873,86K","-3,65%"
"09.08.2024","390,00","405,00","406,50","390,00","343,96K","-2,74%"
"08.08.2024","401,00","401,75","404,00","398,00","410,70K","-0,19%"
"07.08.2024","401,75","398,75","404,75","391,50","473,51K","1,32%"
"06.08.2024","396,50","403,75","417,50","391,25","491,33K","0,13%"
"05.08.2024","396,00","380,00","407,75","380,00","580,29K","-5,09%"
"02.08.2024","417,25","427,25","431,00","412,00","556,93K","-3,25%"
"01.08.2024","431,25","425,00","432,75","423,00","527,10K","2,74%"
"31.07.2024","419,75","431,75","436,25","418,00","643,91K","-2,78%"
"30.07.2024","431,75","434,00","439,50","430,00","498,14K","-0,52%"
"29.07.2024","434,00","446,75","446,75","434,00","468,85K","-3,23%"
"26.07.2024","448,50","460,00","463,75","447,00","660,60K","-2,34%"
"25.07.2024","459,25","459,75","483,50","455,75","1,74M","0,49%"
"24.07.2024","457,00","461,00","467,75","454,25","920,35K","-0,65%"
"23.07.2024","460,00","453,50","471,00","449,00","1,47M","1,66%"
"22.07.2024","452,50","439,00","459,50","438,00","1,40M","3,13%"
"19.07.2024","438,75","450,75","450,75","437,75","518,38K","-2,50%"
"18.07.2024","450,00","451,00","455,25","447,25","725,31K","0,39%"
"17.07.2024","448,25","448,50","452,00","441,25","543,37K","0,11%"
"16.07.2024","447,75","446,50","452,50","442,00","736,08K","0,56%"
"12.07.2024","445,25","453,00","455,75","439,50","962,80K","-1,33%"
"11.07.2024","451,25","422,25","462,25","422,00","2,30M","7,38%"
"10.07.2024","420,25","434,50","435,50","420,25","436,80K","-3,00%"
"09.07.2024","433,25","438,25","441,50","430,00","655,54K","-1,08%"
"08.07.2024","438,00","440,50","449,00","436,00","655,44K","-0,23%"
"05.07.2024","439,00","439,50","447,75","434,50","893,74K","1,33%"
"04.07.2024","433,25","426,25","438,50","425,25","717,17K","1,64%"
"03.07.2024","426,25","430,00","431,25","421,75","532,63K","-0,23%"
"02.07.2024","427,25","433,00","436,75","424,75","474,42K","-1,33%"
