"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.11.2024","4,53","4,53","4,61","4,46","33,04M","0,22%"
"26.11.2024","4,52","4,55","4,59","4,46","34,65M","-0,22%"
"25.11.2024","4,53","4,66","4,68","4,50","42,11M","-2,37%"
"22.11.2024","4,64","4,42","4,68","4,39","48,27M","4,98%"
"21.11.2024","4,42","4,44","4,46","4,38","15,95M","-0,45%"
"20.11.2024","4,44","4,41","4,50","4,38","18,80M","0,91%"
"19.11.2024","4,40","4,44","4,46","4,35","17,43M","-0,68%"
"18.11.2024","4,43","4,45","4,45","4,37","12,92M","-0,23%"
"15.11.2024","4,44","4,49","4,53","4,41","22,75M","-0,67%"
"14.11.2024","4,47","4,45","4,65","4,44","32,52M","0,68%"
"13.11.2024","4,44","4,44","4,45","4,31","29,62M","0,00%"
"12.11.2024","4,44","4,53","4,55","4,43","19,98M","-1,77%"
"11.11.2024","4,52","4,33","4,57","4,30","48,17M","4,63%"
"08.11.2024","4,32","4,17","4,35","4,13","44,28M","3,60%"
"07.11.2024","4,17","4,62","4,66","4,15","79,08M","-9,54%"
"06.11.2024","4,61","4,59","4,66","4,59","14,84M","0,22%"
"05.11.2024","4,60","4,77","4,81","4,54","19,70M","-3,56%"
"04.11.2024","4,77","5,06","5,06","4,75","24,25M","-5,36%"
"01.11.2024","5,04","5,20","5,23","4,98","26,05M","-3,45%"
"31.10.2024","5,22","5,06","5,24","5,02","23,85M","3,16%"
"30.10.2024","5,06","5,00","5,08","5,00","15,10M","1,20%"
"28.10.2024","5,00","4,98","5,09","4,98","6,76M","0,40%"
"25.10.2024","4,98","4,97","5,00","4,91","17,23M","0,20%"
"24.10.2024","4,97","4,95","5,00","4,88","18,74M","0,61%"
"23.10.2024","4,94","4,99","5,09","4,94","33,71M","-1,20%"
"22.10.2024","5,00","4,75","5,04","4,71","35,62M","5,49%"
"21.10.2024","4,74","4,75","4,79","4,69","10,23M","0,00%"
"18.10.2024","4,74","4,85","4,90","4,72","15,33M","-2,07%"
"17.10.2024","4,84","4,82","4,88","4,76","17,05M","0,83%"
"16.10.2024","4,80","4,80","4,93","4,76","16,40M","0,21%"
"15.10.2024","4,79","4,77","4,88","4,73","17,65M","0,63%"
"14.10.2024","4,76","4,96","4,98","4,73","26,93M","-4,61%"
"11.10.2024","4,99","5,21","5,24","4,98","29,76M","-4,22%"
"10.10.2024","5,21","5,14","5,23","5,04","31,78M","1,36%"
"09.10.2024","5,14","5,47","5,47","5,07","38,99M","-5,69%"
"08.10.2024","5,45","5,51","5,61","5,36","37,94M","-0,18%"
"07.10.2024","5,46","5,52","5,59","5,46","13,93M","-0,36%"
"04.10.2024","5,48","5,49","5,62","5,37","28,05M","0,00%"
"03.10.2024","5,48","5,42","5,59","5,41","18,17M","1,11%"
"02.10.2024","5,42","5,42","5,45","5,30","17,77M","0,56%"
"01.10.2024","5,39","5,75","5,75","5,36","36,35M","-4,09%"
"30.09.2024","5,62","5,69","5,70","5,49","83,63M","-1,06%"
"27.09.2024","5,68","5,72","5,92","5,60","59,58M","-0,53%"
"26.09.2024","5,71","5,87","5,87","5,63","98,00M","-1,72%"
"25.09.2024","5,81","5,23","5,97","5,20","163,55M","2,11%"
"24.09.2024","5,69","6,30","6,32","5,69","48,73M","-9,97%"
"23.09.2024","6,32","6,43","6,49","6,23","65,73M","-1,56%"
"20.09.2024","6,42","6,45","6,59","6,35","58,80M","-0,47%"
"19.09.2024","6,45","6,29","6,47","6,17","66,62M","2,54%"
"18.09.2024","6,29","6,87","7,02","6,21","109,85M","-8,44%"
"17.09.2024","6,87","7,27","7,28","6,81","82,40M","-5,50%"
"16.09.2024","7,27","7,51","7,65","7,20","52,34M","-2,02%"
"13.09.2024","7,42","7,56","7,61","7,21","72,90M","-1,72%"
"12.09.2024","7,55","7,74","7,80","7,35","85,35M","-2,45%"
"11.09.2024","7,74","7,99","8,04","7,67","74,80M","-3,13%"
"10.09.2024","7,99","7,87","8,10","7,73","85,40M","1,78%"
"09.09.2024","7,85","7,90","7,93","7,67","74,21M","-0,25%"
"06.09.2024","7,87","7,77","7,95","7,76","93,63M","1,29%"
"05.09.2024","7,77","7,76","7,80","7,62","62,02M","0,13%"
"04.09.2024","7,76","7,58","7,78","7,53","68,94M","2,37%"
"03.09.2024","7,58","7,48","7,62","7,45","67,32M","1,47%"
"02.09.2024","7,47","7,52","7,52","7,39","45,85M","-0,66%"
"29.08.2024","7,52","7,29","7,52","7,22","93,33M","3,72%"
"28.08.2024","7,25","7,05","7,26","6,97","62,96M","2,84%"
"27.08.2024","7,05","7,14","7,30","7,00","95,23M","-0,84%"
"26.08.2024","7,11","6,68","7,15","6,65","136,94M","7,56%"
"23.08.2024","6,61","6,82","6,85","6,61","85,75M","-2,94%"
"22.08.2024","6,81","6,58","6,85","6,56","80,76M","3,50%"
"21.08.2024","6,58","6,56","6,62","6,41","101,63M","0,46%"
"20.08.2024","6,55","6,40","6,55","6,32","72,47M","2,66%"
