"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2014","4,15","4,15","4,18","4,13","3,28M","0,00%"
"30.12.2014","4,15","4,16","4,18","4,09","4,67M","-0,18%"
"29.12.2014","4,16","4,16","4,20","4,15","6,30M","0,00%"
"26.12.2014","4,16","4,11","4,16","4,11","4,62M","1,19%"
"25.12.2014","4,11","4,11","4,13","4,11","1,59M","0,00%"
"24.12.2014","4,11","4,09","4,15","4,08","3,62M","0,55%"
"23.12.2014","4,09","4,18","4,18","4,08","7,25M","-2,16%"
"22.12.2014","4,18","4,06","4,18","4,04","11,79M","3,15%"
"19.12.2014","4,05","3,93","4,07","3,88","16,80M","3,25%"
"18.12.2014","3,92","3,83","3,92","3,83","12,24M","3,47%"
"17.12.2014","3,79","3,74","3,84","3,74","10,26M","1,20%"
"16.12.2014","3,74","3,83","3,84","3,65","11,59M","-2,35%"
"15.12.2014","3,83","3,91","3,94","3,83","16,78M","-1,73%"
"12.12.2014","3,90","3,79","3,91","3,79","18,99M","3,17%"
"11.12.2014","3,78","3,74","3,81","3,73","10,63M","1,10%"
"10.12.2014","3,74","3,74","3,76","3,70","8,24M","0,40%"
"09.12.2014","3,73","3,71","3,77","3,70","7,67M","0,00%"
"08.12.2014","3,72","3,79","3,81","3,71","7,33M","-1,88%"
"05.12.2014","3,79","3,81","3,84","3,79","11,04M","-0,30%"
"04.12.2014","3,80","3,80","3,82","3,77","8,58M","0,00%"
"03.12.2014","3,80","3,80","3,83","3,78","15,00M","0,00%"
"02.12.2014","3,80","3,79","3,82","3,76","16,00M","0,60%"
"01.12.2014","3,78","3,76","3,79","3,71","14,96M","0,60%"
"28.11.2014","3,76","3,85","3,86","3,67","18,91M","-2,34%"
"27.11.2014","3,85","3,87","3,88","3,83","6,66M","-0,48%"
"26.11.2014","3,87","3,89","3,91","3,86","8,56M","-0,19%"
"25.11.2014","3,88","3,86","3,90","3,84","9,45M","0,58%"
"24.11.2014","3,85","3,85","3,86","3,81","8,62M","0,00%"
"21.11.2014","3,85","3,79","3,88","3,78","16,05M","1,99%"
"20.11.2014","3,77","3,75","3,78","3,74","10,22M","0,90%"
"19.11.2014","3,74","3,78","3,79","3,73","7,75M","-0,99%"
"18.11.2014","3,78","3,78","3,80","3,77","5,14M","0,30%"
"17.11.2014","3,77","3,75","3,80","3,72","7,46M","1,01%"
"14.11.2014","3,73","3,74","3,77","3,71","7,03M","-0,40%"
"13.11.2014","3,74","3,74","3,78","3,68","7,79M","0,00%"
"12.11.2014","3,74","3,71","3,74","3,71","4,87M","0,91%"
"11.11.2014","3,71","3,69","3,71","3,66","5,56M","0,41%"
"10.11.2014","3,69","3,64","3,71","3,63","10,88M","2,18%"
"07.11.2014","3,61","3,55","3,62","3,54","9,63M","3,22%"
"06.11.2014","3,50","3,49","3,53","3,48","3,06M","0,32%"
"05.11.2014","3,49","3,58","3,58","3,49","6,62M","-2,72%"
"04.11.2014","3,59","3,66","3,67","3,57","4,28M","-1,65%"
"03.11.2014","3,65","3,61","3,67","3,61","3,18M","0,73%"
"31.10.2014","3,62","3,59","3,66","3,59","8,65M","1,58%"
"30.10.2014","3,56","3,54","3,59","3,52","4,94M","0,74%"
"28.10.2014","3,54","3,55","3,55","3,51","2,05M","0,21%"
"27.10.2014","3,53","3,57","3,60","3,52","4,60M","-0,95%"
"24.10.2014","3,56","3,53","3,57","3,49","10,19M","1,17%"
"23.10.2014","3,52","3,47","3,52","3,44","6,79M","1,62%"
"22.10.2014","3,47","3,45","3,50","3,44","6,44M","0,65%"
"21.10.2014","3,44","3,40","3,44","3,38","8,00M","1,44%"
"20.10.2014","3,40","3,40","3,41","3,36","7,10M","0,00%"
"17.10.2014","3,40","3,32","3,40","3,31","13,97M","2,38%"
"16.10.2014","3,32","3,34","3,34","3,26","5,67M","0,00%"
"15.10.2014","3,32","3,41","3,41","3,31","7,75M","-2,10%"
"14.10.2014","3,39","3,43","3,43","3,38","4,67M","-0,77%"
"13.10.2014","3,42","3,40","3,43","3,40","5,56M","1,00%"
"10.10.2014","3,38","3,43","3,43","3,37","4,40M","-1,74%"
"09.10.2014","3,44","3,37","3,44","3,37","6,26M","3,96%"
"08.10.2014","3,31","3,40","3,40","3,29","7,69M","-2,97%"
"03.10.2014","3,41","3,43","3,43","3,41","1,19M","0,00%"
"02.10.2014","3,41","3,44","3,44","3,39","3,59M","0,00%"
"01.10.2014","3,41","3,44","3,48","3,40","3,70M","-0,66%"
"30.09.2014","3,43","3,50","3,52","3,43","4,13M","-1,72%"
"29.09.2014","3,49","3,50","3,55","3,45","2,10M","-0,75%"
"26.09.2014","3,52","3,47","3,53","3,46","2,61M","1,74%"
"25.09.2014","3,46","3,45","3,47","3,44","3,99M","0,44%"
"24.09.2014","3,44","3,57","3,58","3,44","4,51M","-3,37%"
"23.09.2014","3,56","3,54","3,61","3,54","6,19M","1,06%"
"22.09.2014","3,53","3,63","3,63","3,53","6,52M","-2,29%"
"19.09.2014","3,61","3,68","3,70","3,61","3,79M","-1,74%"
"18.09.2014","3,67","3,68","3,68","3,62","4,84M","-1,01%"
"17.09.2014","3,71","3,65","3,71","3,65","6,57M","1,85%"
"16.09.2014","3,64","3,65","3,66","3,62","5,07M","-0,21%"
"15.09.2014","3,65","3,68","3,70","3,65","3,69M","-0,92%"
"12.09.2014","3,68","3,78","3,80","3,68","5,02M","-2,58%"
"11.09.2014","3,78","3,83","3,83","3,77","2,93M","-0,98%"
"10.09.2014","3,82","3,85","3,85","3,80","5,33M","-0,78%"
"09.09.2014","3,85","3,86","3,88","3,83","4,94M","-0,97%"
"08.09.2014","3,89","3,89","3,92","3,86","3,50M","-0,19%"
"05.09.2014","3,89","3,88","3,91","3,86","2,98M","0,48%"
"04.09.2014","3,88","3,81","3,88","3,80","3,83M","1,87%"
"03.09.2014","3,80","3,79","3,82","3,79","2,75M","0,60%"
"02.09.2014","3,78","3,84","3,85","3,78","4,35M","-1,47%"
"01.09.2014","3,84","3,82","3,84","3,82","1,88M","0,69%"
"29.08.2014","3,81","3,84","3,88","3,81","4,87M","-0,97%"
"28.08.2014","3,85","3,85","3,85","3,82","3,12M","0,00%"
"27.08.2014","3,85","3,83","3,85","3,80","5,64M","0,88%"
"26.08.2014","3,82","3,78","3,83","3,77","5,76M","1,19%"
"25.08.2014","3,77","3,77","3,78","3,75","2,11M","0,00%"
"22.08.2014","3,77","3,74","3,78","3,71","5,33M","0,90%"
"21.08.2014","3,74","3,65","3,77","3,65","5,85M","2,15%"
"20.08.2014","3,66","3,71","3,71","3,62","5,99M","-1,41%"
"19.08.2014","3,71","3,62","3,71","3,61","9,84M","3,12%"
"18.08.2014","3,60","3,61","3,63","3,56","4,75M","0,73%"
"15.08.2014","3,58","3,62","3,64","3,57","5,20M","-0,83%"
"14.08.2014","3,61","3,67","3,67","3,61","6,67M","-1,03%"
"13.08.2014","3,64","3,74","3,76","3,59","12,52M","-2,51%"
"12.08.2014","3,74","3,78","3,79","3,70","7,51M","-0,80%"
"11.08.2014","3,77","3,86","3,88","3,74","9,19M","-2,05%"
"08.08.2014","3,85","3,89","3,90","3,85","5,66M","-1,44%"
"07.08.2014","3,90","3,96","3,96","3,89","2,67M","-1,05%"
"06.08.2014","3,94","4,05","4,07","3,93","4,68M","-2,50%"
"05.08.2014","4,04","4,08","4,10","4,04","3,52M","-0,28%"
"04.08.2014","4,06","3,96","4,11","3,96","8,18M","2,56%"
"01.08.2014","3,95","3,93","3,96","3,88","5,79M","0,67%"
"31.07.2014","3,93","3,94","3,96","3,90","5,03M","0,29%"
"25.07.2014","3,92","3,88","3,93","3,87","4,05M","1,16%"
"24.07.2014","3,87","3,89","3,91","3,87","3,79M","-0,48%"
"23.07.2014","3,89","3,86","3,89","3,85","3,84M","0,97%"
"22.07.2014","3,85","3,85","3,86","3,82","4,81M","0,20%"
"21.07.2014","3,85","3,85","3,86","3,83","2,51M","-0,29%"
"18.07.2014","3,86","3,80","3,86","3,79","10,44M","0,78%"
"17.07.2014","3,83","3,83","3,86","3,80","5,62M","0,00%"
"16.07.2014","3,83","3,80","3,83","3,79","6,21M","0,99%"
"15.07.2014","3,79","3,77","3,80","3,77","4,42M","0,50%"
"14.07.2014","3,77","3,79","3,82","3,77","6,59M","-0,59%"
"11.07.2014","3,80","3,82","3,83","3,79","2,47M","-0,30%"
"10.07.2014","3,81","3,82","3,83","3,80","2,80M","0,00%"
"09.07.2014","3,81","3,80","3,83","3,80","1,85M","-0,20%"
"08.07.2014","3,82","3,80","3,83","3,79","4,81M","0,79%"
"07.07.2014","3,79","3,78","3,81","3,72","3,95M","0,60%"
"04.07.2014","3,77","3,76","3,78","3,76","1,56M","0,20%"
"03.07.2014","3,76","3,76","3,79","3,74","3,97M","0,00%"
"02.07.2014","3,76","3,71","3,77","3,69","4,43M","1,83%"
"01.07.2014","3,70","3,71","3,73","3,68","4,57M","-0,30%"
"30.06.2014","3,71","3,73","3,77","3,70","5,28M","-0,70%"
"27.06.2014","3,73","3,71","3,73","3,71","2,37M","0,61%"
